#{"t_start": 1755466209.7871127, "env_id": "None"}
r,l,t
0.0,820,44.946001
4.7683716e-07,820,44.946068
0.0,820,44.946096
0.0,820,44.946115
-6.3329935e-08,820,44.946132
0.0,820,44.94615
-1.5600009,820,44.946166
-0.42999998,820,44.946182
-1.4800035,820,44.946199
-1.240001,820,44.946215
-0.18000261,820,44.946231
-4.61936e-07,820,44.946248
-0.12000063,820,44.946264
0.0,820,44.946281
0.0,820,44.946296
-1.1920929e-07,820,44.946312
0.0,820,85.526249
-7.4505806e-07,820,85.526309
0.0,820,85.526334
0.0,820,85.526353
-1.2293458e-07,820,85.526369
0.0,820,85.526386
-9.536743e-07,820,85.526402
-5.5879354e-09,820,85.526419
-0.10000143,820,85.526435
-3.1000009,820,85.526452
-0.21000184,820,85.526469
-0.13000032,820,85.526485
-4.7683716e-07,820,85.528128
0.0,820,85.528149
0.0,820,85.528161
-2.9802322e-07,820,85.52817
0.0,820,132.596038
8.940697e-08,820,132.596077
0.0,820,132.596092
0.0,820,132.596102
4.4703484e-08,820,132.596111
0.0,820,132.596121
-2.9802322e-07,820,132.596129
-4.4703484e-08,820,132.596139
-1.3699987,820,132.596148
-8.34465e-07,820,132.596157
-0.28000247,820,132.596166
1.0803342e-07,820,132.596176
-7.4505806e-07,820,132.596185
0.0,820,132.596194
0.0,820,132.596203
-4.172325e-07,820,132.596211
0.0,820,175.244333
-7.1525574e-07,820,175.244372
0.0,820,175.244386
0.0,820,175.244396
-5.9604645e-08,820,175.244406
0.0,820,175.244415
-4.7311187e-07,820,175.244424
-1.4901161e-07,820,175.244433
-0.049999822,820,175.244443
-2.0861626e-07,820,175.244453
1.437962e-06,820,175.244462
-2.0861626e-07,820,175.244472
-3.874302e-07,820,175.244481
0.0,820,175.24449
0.0,820,175.244499
-2.7567148e-07,820,175.244508
0.0,820,222.699133
-5.9604645e-07,820,222.699172
0.0,820,222.699188
0.0,820,222.699198
-2.4214387e-07,820,222.699207
0.0,820,222.699216
-4.7683716e-07,820,222.699225
4.4703484e-08,820,222.699235
-0.8699995,820,222.699244
-2.3469329e-07,820,222.699254
-0.19000047,820,222.699263
-5.2154064e-08,820,222.699272
1.4528632e-07,820,222.699282
0.0,820,222.699291
0.0,820,222.6993
-1.527369e-07,820,222.699309
0.0,820,265.231407
-5.9604645e-07,820,265.231447
0.0,820,265.231464
0.0,820,265.231476
-2.9429793e-07,820,265.231487
0.0,820,265.231498
-0.11000042,820,265.231508
4.8428774e-08,820,265.231519
-0.3699994,820,265.231529
-2.9057264e-07,820,265.231539
-0.20000154,820,265.231549
-0.070000075,820,265.231559
-2.30968e-07,820,265.231569
0.0,820,265.231578
0.0,820,265.231587
4.4703484e-08,820,265.231596
0.0,820,307.425337
-6.2584877e-07,820,307.42538
-3.7252903e-09,820,307.425395
0.0,820,307.425406
-8.940697e-08,820,307.425416
0.0,820,307.425425
4.4703484e-08,820,307.425434
-0.020000074,820,307.425443
-1.3560057e-06,820,307.425453
-6.2957406e-07,820,307.425462
-0.13000034,820,307.425472
-0.07000009,820,307.425481
-1.5646219e-07,820,307.42549
0.0,820,307.4255
0.0,820,307.425509
0.0,820,307.425517
0.0,820,354.617964
1.4901161e-07,820,354.618006
0.0,820,354.618021
0.0,820,354.618031
0.0,820,354.61804
0.0,820,354.618049
-1.6093254e-06,820,354.618057
6.3329935e-08,820,354.618067
-0.050000533,820,354.618077
5.9604645e-08,820,354.618087
-0.120001465,820,354.618096
-1.4901161e-07,820,354.618106
-3.7252903e-09,820,354.618115
0.0,820,354.618125
0.0,820,354.618133
-1.4901161e-08,820,354.618142
0.0,820,396.301674
-4.61936e-07,820,396.301709
0.0,820,396.301723
0.0,820,396.301733
-5.9604645e-08,820,396.301742
0.0,820,396.301752
-2.9802322e-08,820,396.301761
0.0,820,396.30177
-0.61000097,820,396.301779
-4.991889e-07,820,396.301788
-0.21000034,820,396.301798
1.4901161e-07,820,396.301807
