#{"t_start": 1755485328.9253047, "env_id": "None"}
r,l,t
0.0,820,43.591927
-0.6600009,820,43.591997
0.0,820,43.592022
0.0,820,43.592041
-1.4156103e-07,820,43.592058
0.0,820,43.592075
-0.96000075,820,43.592091
7.450581e-09,820,43.592107
-0.3400024,820,43.592124
-0.30000034,820,43.59214
-2.3394823e-06,820,43.592157
-6.3702464e-07,820,43.592173
-0.6900002,820,43.59219
0.0,820,43.592206
0.0,820,43.592222
-1.7881393e-07,820,43.592237
0.0,820,83.680303
-7.1525574e-07,820,83.680356
0.0,820,83.680381
0.0,820,83.6804
-8.940697e-08,820,83.680417
0.0,820,83.680434
-0.12000066,820,83.68045
2.9802322e-08,820,83.680467
-0.14000377,820,83.680484
-0.24000086,820,83.680501
-0.20000012,820,83.680518
-0.1000004,820,83.680534
-1.9073486e-06,820,83.682154
0.0,820,83.682175
0.0,820,83.682187
-8.568168e-08,820,83.682197
0.0,820,128.119236
4.4703484e-07,820,128.119272
0.0,820,128.119288
0.0,820,128.1193
-2.9802322e-08,820,128.11931
0.0,820,128.119322
-7.748604e-07,820,128.119332
1.4901161e-08,820,128.119342
-3.1590462e-06,820,128.119353
-0.020000178,820,128.119363
-1.1622906e-06,820,128.119373
-3.874302e-07,820,128.119383
-8.009374e-07,820,128.119392
0.0,820,128.119402
0.0,820,128.119411
-2.3841858e-07,820,128.11942
0.0,820,168.348922
-2.9802322e-07,820,168.348957
0.0,820,168.348973
0.0,820,168.348985
-2.5331974e-07,820,168.348995
0.0,820,168.349007
-3.5762787e-07,820,168.349017
3.7252903e-09,820,168.349027
-0.1900013,820,168.349038
-0.25000095,820,168.349048
-0.14000045,820,168.349058
-0.10000014,820,168.349068
-0.020000715,820,168.349077
0.0,820,168.349087
0.0,820,168.349097
-4.4703484e-07,820,168.349106
0.0,820,212.524839
-7.1525574e-07,820,212.524875
0.0,820,212.524891
0.0,820,212.524901
-7.450581e-09,820,212.52491
0.0,820,212.52492
-4.172325e-07,820,212.524929
2.6077032e-08,820,212.524938
-0.3000008,820,212.524948
-2.3841858e-07,820,212.524957
-0.23000091,820,212.524966
-1.4901161e-07,820,212.524976
-2.2724271e-07,820,212.524985
0.0,820,212.524994
0.0,820,212.525002
-8.940697e-08,820,212.52501
0.0,820,252.028352
-5.066395e-07,820,252.028386
0.0,820,252.028402
0.0,820,252.028414
1.1920929e-07,820,252.028424
0.0,820,252.028435
2.9802322e-08,820,252.028445
-2.9802322e-08,820,252.028456
-0.16999969,820,252.028467
-3.874302e-07,820,252.028477
-0.24000126,820,252.028487
-0.05000015,820,252.028497
-2.9802322e-07,820,252.028506
0.0,820,252.028516
0.0,820,252.028525
5.9604645e-08,820,252.028534
0.0,820,291.598298
-5.662441e-07,820,291.598335
0.0,820,291.598351
0.0,820,291.598364
-5.2154064e-08,820,291.598375
0.0,820,291.598387
-1.0430813e-07,820,291.598398
-2.9802322e-08,820,291.59841
-0.80000067,820,291.598422
-0.1800002,820,291.598434
-0.16000038,820,291.598445
-0.08000012,820,291.598457
-4.61936e-07,820,291.598469
0.0,820,291.59848
0.0,820,291.598491
-1.5646219e-07,820,291.598502
0.0,820,334.949137
-6.4074993e-07,820,334.94917
-3.7252903e-09,820,334.949186
0.0,820,334.949199
7.450581e-09,820,334.949209
0.0,820,334.949221
-0.089999884,820,334.949231
1.8626451e-08,820,334.949241
-0.1900013,820,334.949251
-4.4703484e-07,820,334.949261
-0.22999991,820,334.949271
-0.07000027,820,334.949281
-0.040000357,820,334.949291
0.0,820,334.9493
0.0,820,334.949309
-2.2351742e-08,820,334.949318
0.0,820,374.684168
-4.172325e-07,820,374.684205
0.0,820,374.68422
0.0,820,374.684232
3.5762787e-07,820,374.684242
0.0,820,374.684253
2.3841858e-07,820,374.684263
-1.4901161e-08,820,374.684273
-1.940001,820,374.684283
-0.23000032,820,374.684293
-0.18000025,820,374.684303
-1.7136335e-07,820,374.684313
-7.0780516e-08,820,374.684322
0.0,820,374.684332
0.0,820,374.684341
0.0,820,374.68435
0.0,820,418.225937
-1.1920929e-07,820,418.225973
0.0,820,418.225988
0.0,820,418.225998
-7.4505806e-08,820,418.226007
0.0,820,418.226017
-8.940697e-08,820,418.226025
-2.9802322e-08,820,418.226034
-1.3700012,820,418.226044
-4.4703484e-07,820,418.226053
-0.33000016,820,418.226063
-2.5331974e-07,820,418.226072
-1.6763806e-07,820,418.226081
0.0,820,418.22609
0.0,820,418.22614
8.940697e-08,820,418.226155
0.0,820,457.528479
-4.61936e-07,820,457.528515
0.0,820,457.528531
0.0,820,457.528542
7.450581e-09,820,457.528552
0.0,820,457.528563
-0.09000003,820,457.528573
0.0,820,457.528583
