#{"t_start": 1755515765.60296, "env_id": "None"}
r,l,t
109.19971,820,70.782134
-309.14075,820,70.782203
56.898964,820,70.782232
109.19971,820,70.782253
36.41708,820,70.782273
109.19971,820,70.782292
-114.34377,820,70.782311
39.441692,820,70.78233
-437.46115,820,70.782349
-241.93578,820,70.782368
-299.62802,820,70.782387
-207.31541,820,70.782405
-60.814823,820,70.782424
108.96298,820,70.782443
109.19971,820,70.782461
-12.295213,820,70.78248
107.9641,820,138.135988
-234.83257,820,138.136051
61.49105,820,138.136075
109.19971,820,138.136094
17.127508,820,138.136111
109.19971,820,138.136127
-92.970215,820,138.136143
51.84448,820,138.136159
-522.6432,820,138.136176
-216.53162,820,138.136192
-160.09149,820,138.136208
-161.74945,820,138.137887
-67.980194,820,138.137914
108.800735,820,138.137929
109.19971,820,138.137942
-56.06958,820,138.137954
109.19971,820,209.222816
-80.258705,820,209.222859
66.43813,820,209.222873
109.19971,820,209.222883
34.184544,820,209.222893
109.19971,820,209.222902
-20.608463,820,209.22291
54.401485,820,209.22292
-298.14752,820,209.222929
-116.23737,820,209.222938
-169.057,820,209.222947
-136.03925,820,209.222956
-39.707825,820,209.222965
108.91009,820,209.222974
109.19971,820,209.222982
-82.3263,820,209.222991
109.19971,820,273.517787
-81.856415,820,273.517824
56.117413,820,273.51784
109.19971,820,273.517854
29.288668,820,273.517866
109.19971,820,273.517879
-5.9318943,820,273.517891
9.914863,820,273.517902
-318.1308,820,273.517913
-74.866066,820,273.517925
-46.970345,820,273.517937
-36.844597,820,273.517949
4.222607,820,273.51796
108.73312,820,273.517972
109.19971,820,273.517983
-7.7527,820,273.517994
109.19971,820,344.107862
-40.907642,820,344.107902
59.32221,820,344.107917
109.19971,820,344.107927
-10.801225,820,344.107937
109.19971,820,344.107946
-48.017105,820,344.107955
19.787687,820,344.107964
-325.75058,820,344.107973
-111.40825,820,344.107982
-35.79283,820,344.107991
-54.783215,820,344.108
-10.219286,820,344.108008
108.69725,820,344.108017
109.19971,820,344.108027
-42.637863,820,344.108035
106.92214,820,409.735352
-36.177586,820,409.73539
54.66487,820,409.735406
109.19971,820,409.73542
36.15073,820,409.735433
109.19971,820,409.735445
-4.9215155,820,409.735457
45.344627,820,409.735469
-156.70479,820,409.73548
-4.4870577,820,409.735492
-36.95755,820,409.735504
-31.837917,820,409.735515
3.5797615,820,409.735526
108.855034,820,409.735538
109.19971,820,409.735549
8.981153,820,409.73556
109.19971,820,474.450955
-67.082375,820,474.450995
72.47882,820,474.451011
109.19971,820,474.451023
39.589783,820,474.451035
109.19971,820,474.451046
-33.090405,820,474.451058
43.348026,820,474.451069
-116.13088,820,474.451081
-19.973944,820,474.451092
-22.579662,820,474.451103
-35.956684,820,474.451114
16.050358,820,474.451125
108.865135,820,474.451137
109.19971,820,474.451148
15.143618,820,474.451159
107.94253,820,545.915687
-104.51783,820,545.915732
62.296913,820,545.915746
109.19971,820,545.915757
41.79809,820,545.915766
109.19971,820,545.915775
-6.5573997,820,545.915784
57.691574,820,545.915793
-197.59903,820,545.915803
-19.515842,820,545.915812
-38.579906,820,545.915821
-19.155529,820,545.915836
27.015085,820,545.915865
108.630875,820,545.915885
109.19971,820,545.915906
16.658842,820,545.915931
107.96128,820,616.11394
-50.65932,820,616.113978
53.030735,820,616.113993
109.19971,820,616.114006
42.66374,820,616.114017
109.19971,820,616.114027
13.458463,820,616.114038
70.75974,820,616.114048
-139.63402,820,616.114058
-9.557792,820,616.114067
5.5586104,820,616.114077
1.6916562,820,616.114086
28.494228,820,616.114095
108.83522,820,616.114105
109.19971,820,616.114114
5.079068,820,616.114123
108.15731,820,684.844648
-21.332184,820,684.844689
70.385605,820,684.844704
109.19971,820,684.844717
33.388462,820,684.844729
109.19971,820,684.84474
33.751545,820,684.844751
65.592064,820,684.844763
-89.63333,820,684.844774
-13.079991,820,684.844785
15.049291,820,684.844796
-33.58288,820,684.844808
19.480007,820,684.844858
108.599754,820,684.844875
109.19971,820,684.844887
8.334771,820,684.844898
106.90685,820,748.287309
1.1779832,820,748.287349
60.889297,820,748.287365
109.19971,820,748.287377
-7.2586136,820,748.287389
109.19971,820,748.2874
22.905542,820,748.287411
63.861797,820,748.287423
-95.45264,820,748.287434
13.852218,820,748.287445
31.802319,820,748.287456
8.121722,820,748.287467
56.576828,820,748.287478
108.77937,820,748.287489
109.19971,820,748.287501
20.179234,820,748.287512
109.19971,820,811.610919
-38.347286,820,811.610961
65.7902,820,811.610978
109.19971,820,811.610991
41.140217,820,811.611004
109.19971,820,811.611017
41.845425,820,811.611028
64.263084,820,811.61104
-81.376465,820,811.611052
19.724482,820,811.611063
36.972214,820,811.611074
6.9746456,820,811.611086
28.225147,820,811.611097
109.19971,820,811.611109
109.19971,820,811.61112
16.861036,820,811.611131
107.95458,820,879.135306
-45.966145,820,879.135345
53.63135,820,879.13536
109.19971,820,879.135372
31.949726,820,879.135384
109.19971,820,879.135395
44.97175,820,879.135406
61.62529,820,879.135418
-95.09922,820,879.135428
18.029879,820,879.13544
48.61008,820,879.135451
0.55021334,820,879.135463
50.6544,820,879.135474
109.18908,820,879.135485
109.19971,820,879.135496
21.11071,820,879.135507
107.121376,820,943.387354
8.415087,820,943.387394
62.06757,820,943.387409
109.19971,820,943.387421
39.08806,820,943.387432
109.19971,820,943.387443
45.069782,820,943.387453
74.869255,820,943.387463
-60.877052,820,943.387472
28.295387,820,943.387482
62.581852,820,943.387491
-2.3872564,820,943.387501
50.909027,820,943.38751
108.83227,820,943.387519
109.19971,820,943.387528
24.110647,820,943.387538
108.15904,820,1011.50073
34.042206,820,1011.500772
69.678856,820,1011.500787
109.19971,820,1011.500798
42.623234,820,1011.500808
109.19971,820,1011.500817
46.724762,820,1011.500826
74.84996,820,1011.500836
-41.52629,820,1011.500844
31.182758,820,1011.500854
