#{"t_start": 1755031867.9829748, "env_id": "None"}
r,l,t
-219.45761,1000,62.049565
-219.45761,1000,62.049636
-219.45761,1000,62.049663
-219.45761,1000,62.049682
-219.45761,1000,62.049699
-219.45761,1000,62.049716
-219.45761,1000,62.049732
-219.45761,1000,62.049748
-219.45761,1000,62.049763
-219.45761,1000,62.049779
-219.45761,1000,62.049796
-219.45761,1000,62.049812
-219.45761,1000,62.049828
-219.45761,1000,62.049848
-219.45761,1000,62.049865
-219.45761,1000,62.049881
-218.71819,1000,119.366852
-218.71819,1000,119.366912
-218.71819,1000,119.366936
-218.71819,1000,119.366955
-218.71819,1000,119.366971
-218.71819,1000,119.366988
-218.71819,1000,119.367004
-218.71819,1000,119.36702
-218.71819,1000,119.367036
-218.71819,1000,119.368798
-218.71819,1000,119.368819
-218.71819,1000,119.368832
-218.71819,1000,119.368843
-218.71819,1000,119.368853
-218.71819,1000,119.368863
-218.71819,1000,119.368873
-219.9986,1000,178.761124
-219.9986,1000,178.761167
-219.9986,1000,178.761182
-219.9986,1000,178.761192
-219.9986,1000,178.761202
-219.9986,1000,178.761211
-219.9986,1000,178.76122
-219.9986,1000,178.76123
-219.9986,1000,178.761239
-219.9986,1000,178.761248
-219.9986,1000,178.761257
-219.9986,1000,178.761266
-219.9986,1000,178.761275
-219.9986,1000,178.761284
-219.9986,1000,178.761293
-219.9986,1000,178.761302
-214.73035,1000,234.858433
-214.73035,1000,234.858474
-214.73035,1000,234.858493
-214.73035,1000,234.858506
-214.73035,1000,234.858522
-214.73035,1000,234.858546
-214.73035,1000,234.858568
-214.73035,1000,234.858585
-214.73035,1000,234.858595
-214.73035,1000,234.858605
-214.73035,1000,234.858615
-214.73035,1000,234.858624
-214.73035,1000,234.858634
-214.73035,1000,234.858643
-214.73035,1000,234.858652
-214.73035,1000,234.858662
-217.02158,1000,293.656483
-217.02158,1000,293.656517
-217.02158,1000,293.656531
-217.02158,1000,293.656541
-217.02158,1000,293.656551
-217.02158,1000,293.65656
-217.02158,1000,293.656569
-217.02158,1000,293.656578
-217.02158,1000,293.656587
-217.02158,1000,293.656596
-217.02158,1000,293.656605
-217.02158,1000,293.656614
-217.02158,1000,293.656623
-217.02158,1000,293.656632
-217.02158,1000,293.656641
-217.02158,1000,293.65665
-219.07303,1000,349.70605
-219.07303,1000,349.7061
-219.07303,1000,349.706115
-219.07303,1000,349.706126
-219.07303,1000,349.706136
-219.07303,1000,349.706145
-219.07303,1000,349.706154
-219.07303,1000,349.706163
-219.07303,1000,349.706173
-219.07303,1000,349.706182
-219.07303,1000,349.706191
-219.07303,1000,349.7062
-219.07303,1000,349.706212
-219.07303,1000,349.706222
-219.07303,1000,349.706231
-219.07303,1000,349.70624
-216.01222,1000,408.271984
-216.01222,1000,408.272024
-216.01222,1000,408.272038
-216.01222,1000,408.272048
-216.01222,1000,408.272058
-216.01222,1000,408.272067
-216.01222,1000,408.272077
-216.01222,1000,408.272086
-216.01222,1000,408.272095
-216.01222,1000,408.272104
-216.01222,1000,408.272113
-216.01222,1000,408.272122
-216.01222,1000,408.272131
-216.01222,1000,408.27214
-216.01222,1000,408.27215
-216.01222,1000,408.272159
-216.17287,1000,463.7399
-216.17287,1000,463.739941
-216.17287,1000,463.739955
-216.17287,1000,463.739966
-216.17287,1000,463.739976
-216.17287,1000,463.739985
-216.17287,1000,463.739994
-216.17287,1000,463.740003
-216.17287,1000,463.740013
-216.17287,1000,463.740022
-216.17287,1000,463.740032
-216.17287,1000,463.740041
-216.17287,1000,463.74005
-216.17287,1000,463.740059
-216.17287,1000,463.740069
-216.17287,1000,463.740078
-214.65129,1000,522.035471
-214.65129,1000,522.035513
-214.65129,1000,522.035527
-214.65129,1000,522.035538
-214.65129,1000,522.035547
-214.65129,1000,522.035557
-214.65129,1000,522.035566
-214.65129,1000,522.035575
-214.65129,1000,522.035584
-214.65129,1000,522.035593
-214.65129,1000,522.035602
-214.65129,1000,522.035611
-214.65129,1000,522.03562
-214.65129,1000,522.03563
-214.65129,1000,522.035639
-214.65129,1000,522.035648
-213.29349,1000,577.002795
-213.29349,1000,577.002836
-213.29349,1000,577.002849
-213.29349,1000,577.002895
-213.29349,1000,577.002911
-213.29349,1000,577.002921
-213.29349,1000,577.00293
-213.29349,1000,577.00294
-213.29349,1000,577.002949
-213.29349,1000,577.002958
-213.29349,1000,577.002967
-213.29349,1000,577.002976
-213.29349,1000,577.002986
-213.29349,1000,577.002995
-213.29349,1000,577.003004
-213.29349,1000,577.003014
-214.31306,1000,634.979737
-214.31306,1000,634.979779
-214.31306,1000,634.979795
-214.31306,1000,634.979809
-214.31306,1000,634.979822
-214.31306,1000,634.979835
-214.31306,1000,634.979847
-214.31306,1000,634.979859
-214.31306,1000,634.97987
-214.31306,1000,634.979882
-214.31306,1000,634.979894
-214.31306,1000,634.979906
-214.31306,1000,634.979917
-214.31306,1000,634.979928
-214.31306,1000,634.97994
-214.31306,1000,634.979952
-214.93932,1000,690.352201
-214.93932,1000,690.35224
-214.93932,1000,690.352254
-214.93932,1000,690.352265
-214.93932,1000,690.352274
-214.93932,1000,690.352283
-214.93932,1000,690.352292
-214.93932,1000,690.352301
-214.93932,1000,690.35231
-214.93932,1000,690.352319
-214.93932,1000,690.352328
-214.93932,1000,690.352338
-214.93932,1000,690.352347
-214.93932,1000,690.352356
-214.93932,1000,690.352365
-214.93932,1000,690.352374
-212.46558,1000,749.085643
-212.46558,1000,749.085683
-212.46558,1000,749.085697
-212.46558,1000,749.085707
-212.46558,1000,749.085717
-212.46558,1000,749.085726
-212.46558,1000,749.085735
-212.46558,1000,749.085744
-212.46558,1000,749.085753
-212.46558,1000,749.085762
-212.46558,1000,749.085771
-212.46558,1000,749.08578
-212.46558,1000,749.08579
-212.46558,1000,749.085799
-212.46558,1000,749.085808
-212.46558,1000,749.085817
-212.01222,1000,805.089348
-212.01222,1000,805.089387
-212.01222,1000,805.089401
-212.01222,1000,805.089411
-212.01222,1000,805.089421
-212.01222,1000,805.08943
-212.01222,1000,805.089439
-212.01222,1000,805.089448
-212.01222,1000,805.089457
-212.01222,1000,805.089466
-212.01222,1000,805.089476
-212.01222,1000,805.089485
-212.01222,1000,805.089494
-212.01222,1000,805.089503
-212.01222,1000,805.089512
-212.01222,1000,805.089521
-210.94246,1000,862.394265
-210.94246,1000,862.394305
-210.94246,1000,862.394319
-210.94246,1000,862.394329
-210.94246,1000,862.394339
-210.94246,1000,862.394349
-210.94246,1000,862.394358
-210.94246,1000,862.394367
-210.94246,1000,862.394376
-210.94246,1000,862.394385
-210.94246,1000,862.394394
-210.94246,1000,862.394403
-210.94246,1000,862.394412
-210.94246,1000,862.394421
-210.94246,1000,862.39443
-210.94246,1000,862.39444
-212.31104,1000,918.657868
-212.31104,1000,918.657907
-212.31104,1000,918.657923
-212.31104,1000,918.657935
-212.31104,1000,918.657946
-212.31104,1000,918.657957
-212.31104,1000,918.657968
-212.31104,1000,918.657979
-212.31104,1000,918.65799
-212.31104,1000,918.658
-212.31104,1000,918.65801
-212.31104,1000,918.65802
-212.31104,1000,918.65803
-212.31104,1000,918.658039
-212.31104,1000,918.658049
-212.31104,1000,918.658059
-213.1497,1000,977.495404
-213.1497,1000,977.49545
-213.1497,1000,977.495465
-213.1497,1000,977.495476
-213.1497,1000,977.495485
-213.1497,1000,977.495495
-213.1497,1000,977.495504
-213.1497,1000,977.495512
-213.1497,1000,977.495522
-213.1497,1000,977.49553
-213.1497,1000,977.49554
-213.1497,1000,977.495549
-213.1497,1000,977.495558
-213.1497,1000,977.495567
-213.1497,1000,977.495576
-213.1497,1000,977.495585
-213.40015,1000,1032.866488
-213.40015,1000,1032.866538
-213.40015,1000,1032.866556
-213.40015,1000,1032.866569
-213.40015,1000,1032.866581
-213.40015,1000,1032.866593
-213.40015,1000,1032.866605
-213.40015,1000,1032.866616
-213.40015,1000,1032.866639
-213.40015,1000,1032.866657
-213.40015,1000,1032.866671
-213.40015,1000,1032.866685
-213.40015,1000,1032.866699
-213.40015,1000,1032.866713
-213.40015,1000,1032.866731
-213.40015,1000,1032.866747
-214.59088,1000,1091.720045
-214.59088,1000,1091.720085
-214.59088,1000,1091.720101
-214.59088,1000,1091.720115
-214.59088,1000,1091.720128
-214.59088,1000,1091.720189
-214.59088,1000,1091.720207
-214.59088,1000,1091.72022
-214.59088,1000,1091.720232
-214.59088,1000,1091.720243
-214.59088,1000,1091.720255
-214.59088,1000,1091.720266
-214.59088,1000,1091.720278
-214.59088,1000,1091.720289
-214.59088,1000,1091.720301
-214.59088,1000,1091.720312
-211.31786,1000,1147.141139
-211.31786,1000,1147.141181
-211.31786,1000,1147.141197
-211.31786,1000,1147.141209
-211.31786,1000,1147.141221
-211.31786,1000,1147.141232
-211.31786,1000,1147.141243
-211.31786,1000,1147.141254
-211.31786,1000,1147.141265
-211.31786,1000,1147.141275
-211.31786,1000,1147.141284
-211.31786,1000,1147.141294
-211.31786,1000,1147.141304
-211.31786,1000,1147.141314
-211.31786,1000,1147.141324
-211.31786,1000,1147.141334
-212.84476,1000,1207.927574
-212.84476,1000,1207.927615
-212.84476,1000,1207.927629
-212.84476,1000,1207.92764
-212.84476,1000,1207.92765
-212.84476,1000,1207.927659
-212.84476,1000,1207.927668
-212.84476,1000,1207.927678
-212.84476,1000,1207.927687
-212.84476,1000,1207.927696
-212.84476,1000,1207.927705
-212.84476,1000,1207.927715
-212.84476,1000,1207.927724
-212.84476,1000,1207.927733
-212.84476,1000,1207.927742
-212.84476,1000,1207.927752
-212.29489,1000,1265.742356
-212.29489,1000,1265.742393
-212.29489,1000,1265.742409
-212.29489,1000,1265.742421
-212.29489,1000,1265.742432
-212.29489,1000,1265.742443
-212.29489,1000,1265.742454
-212.29489,1000,1265.742464
-212.29489,1000,1265.742474
-212.29489,1000,1265.742484
-212.29489,1000,1265.742494
-212.29489,1000,1265.742504
-212.29489,1000,1265.742514
-212.29489,1000,1265.742524
-212.29489,1000,1265.742533
-212.29489,1000,1265.742543
-214.38776,1000,1326.327389
-214.38776,1000,1326.327429
-214.38776,1000,1326.327443
-214.38776,1000,1326.327455
-214.38776,1000,1326.327465
-214.38776,1000,1326.327474
-214.38776,1000,1326.327483
-214.38776,1000,1326.327492
-214.38776,1000,1326.327501
-214.38776,1000,1326.32751
-214.38776,1000,1326.327519
-214.38776,1000,1326.327529
-214.38776,1000,1326.327538
-214.38776,1000,1326.327547
-214.38776,1000,1326.327556
-214.38776,1000,1326.327565
-215.87854,1000,1383.561021
-215.87854,1000,1383.561061
-215.87854,1000,1383.561075
-215.87854,1000,1383.561086
-215.87854,1000,1383.561096
-215.87854,1000,1383.561105
-215.87854,1000,1383.561114
-215.87854,1000,1383.561123
-215.87854,1000,1383.561132
-215.87854,1000,1383.561141
-215.87854,1000,1383.56115
-215.87854,1000,1383.56116
-215.87854,1000,1383.561169
-215.87854,1000,1383.561179
-215.87854,1000,1383.561188
-215.87854,1000,1383.561197
-214.16783,1000,1442.941628
-214.16783,1000,1442.941671
-214.16783,1000,1442.941685
-214.16783,1000,1442.941695
-214.16783,1000,1442.941705
-214.16783,1000,1442.941715
-214.16783,1000,1442.941724
-214.16783,1000,1442.941733
-214.16783,1000,1442.941742
-214.16783,1000,1442.941751
-214.16783,1000,1442.94176
-214.16783,1000,1442.941769
-214.16783,1000,1442.941778
-214.16783,1000,1442.941788
-214.16783,1000,1442.941797
-214.16783,1000,1442.941806
-216.37102,1000,1499.148345
-216.37102,1000,1499.148386
-216.37102,1000,1499.148401
-216.37102,1000,1499.148411
-216.37102,1000,1499.148421
-216.37102,1000,1499.14843
-216.37102,1000,1499.14844
-216.37102,1000,1499.148449
-216.37102,1000,1499.148458
-216.37102,1000,1499.148467
-216.37102,1000,1499.148476
-216.37102,1000,1499.148486
-216.37102,1000,1499.148495
-216.37102,1000,1499.148504
-216.37102,1000,1499.148514
-216.37102,1000,1499.148523
-219.65736,1000,1554.698367
-219.65736,1000,1554.698403
-219.65736,1000,1554.698419
-219.65736,1000,1554.698431
-219.65736,1000,1554.698442
-219.65736,1000,1554.698452
-219.65736,1000,1554.698463
-219.65736,1000,1554.698473
-219.65736,1000,1554.698483
-219.65736,1000,1554.698493
-219.65736,1000,1554.698503
-219.65736,1000,1554.698512
-219.65736,1000,1554.698522
-219.65736,1000,1554.698532
