#{"t_start": 1755376269.482485, "env_id": "None"}
r,l,t
0.0,820,48.92565
-347.0,820,48.92572
-1.0,820,48.925747
0.0,820,48.925767
-189.0,820,48.925785
0.0,820,48.925802
-709.0,820,48.925819
-132.0,820,48.925836
-2006.0,820,48.925852
-516.0,820,48.925869
-915.0,820,48.925885
-421.0,820,48.925902
-499.0,820,48.925919
0.0,820,48.925936
0.0,820,48.925952
-434.0,820,48.925968
0.0,820,94.159
-341.0,820,94.15906
-6.0,820,94.159085
0.0,820,94.159104
-143.0,820,94.159121
0.0,820,94.159138
-633.0,820,94.159155
-121.0,820,94.159171
-2438.0,820,94.159187
-706.0,820,94.159204
-645.0,820,94.159221
-291.0,820,94.159238
-662.0,820,94.159255
0.0,820,94.159271
0.0,820,94.159287
-405.0,820,94.159303
0.0,820,144.233608
-358.0,820,144.235297
-3.0,820,144.23534
0.0,820,144.235363
-149.0,820,144.235381
0.0,820,144.2354
-557.0,820,144.235418
-126.0,820,144.235438
-1640.0,820,144.235454
-531.0,820,144.235471
-819.0,820,144.235488
-308.0,820,144.235505
-517.0,820,144.235521
0.0,820,144.235538
0.0,820,144.235555
-371.0,820,144.235573
0.0,820,186.565338
-383.0,820,186.565378
-14.0,820,186.565392
0.0,820,186.565403
-168.0,820,186.565413
0.0,820,186.565422
-545.0,820,186.565431
-145.0,820,186.56544
-2611.0,820,186.56545
-445.0,820,186.56546
-825.0,820,186.565469
-221.0,820,186.565479
-422.0,820,186.565488
0.0,820,186.565498
0.0,820,186.565507
-427.0,820,186.565516
0.0,820,231.129456
-431.0,820,231.129492
-18.0,820,231.129508
0.0,820,231.12952
-146.0,820,231.129532
0.0,820,231.129543
-714.0,820,231.129554
-127.0,820,231.129564
-2475.0,820,231.129575
-698.0,820,231.129585
-742.0,820,231.129595
-318.0,820,231.129605
-440.0,820,231.129615
0.0,820,231.129625
0.0,820,231.129634
-414.0,820,231.129644
0.0,820,270.658557
-270.0,820,270.658595
0.0,820,270.658611
0.0,820,270.658623
-151.0,820,270.658634
0.0,820,270.658645
-572.0,820,270.658655
-129.0,820,270.658666
-1864.0,820,270.658676
-371.0,820,270.658686
-509.0,820,270.658696
-238.0,820,270.658705
-392.0,820,270.658715
0.0,820,270.658725
0.0,820,270.658735
-387.0,820,270.658744
0.0,820,311.789929
-449.0,820,311.789965
-12.0,820,311.789983
0.0,820,311.789996
-168.0,820,311.790009
0.0,820,311.790022
-510.0,820,311.790034
-130.0,820,311.790046
-1834.0,820,311.790058
-398.0,820,311.79007
-526.0,820,311.790082
-260.0,820,311.790094
-440.0,820,311.790106
0.0,820,311.790118
0.0,820,311.79013
-323.0,820,311.790142
0.0,820,354.861117
-368.0,820,354.861159
0.0,820,354.861173
0.0,820,354.861184
-202.0,820,354.861193
0.0,820,354.861203
-455.0,820,354.861212
-127.0,820,354.861221
-1894.0,820,354.861231
-262.0,820,354.861241
-412.0,820,354.86125
-242.0,820,354.861259
-412.0,820,354.861269
0.0,820,354.861278
0.0,820,354.861287
-277.0,820,354.861296
0.0,820,393.522743
-269.0,820,393.522782
-1.0,820,393.522798
0.0,820,393.522808
-155.0,820,393.522817
0.0,820,393.522827
-406.0,820,393.522836
-148.0,820,393.522845
-1731.0,820,393.522855
-297.0,820,393.522864
-400.0,820,393.522874
-193.0,820,393.522883
-423.0,820,393.522892
0.0,820,393.522904
0.0,820,393.522916
-304.0,820,393.522926
0.0,820,438.539824
-247.0,820,438.539862
-4.0,820,438.539878
0.0,820,438.539888
-176.0,820,438.539898
0.0,820,438.539907
-419.0,820,438.539917
-125.0,820,438.539925
-1773.0,820,438.539935
-389.0,820,438.539944
