#{"t_start": 1754948040.9323182, "env_id": "None"}
r,l,t
0.0,1000,55.209356
-534.0,1000,55.209421
-2.0,1000,55.209445
0.0,1000,55.209464
-123.0,1000,55.20948
0.0,1000,55.209497
-838.0,1000,55.209512
-200.0,1000,55.209528
-3466.0,1000,55.209544
-969.0,1000,55.20956
-1106.0,1000,55.209576
-575.0,1000,55.209592
-574.0,1000,55.209608
0.0,1000,55.209624
0.0,1000,55.209639
-337.0,1000,55.209654
0.0,1000,106.342769
-475.0,1000,106.342833
-1.0,1000,106.342859
0.0,1000,106.342878
-215.0,1000,106.342895
0.0,1000,106.342911
-656.0,1000,106.342927
-147.0,1000,106.342943
-3194.0,1000,106.342959
-651.0,1000,106.342975
-1158.0,1000,106.342991
-501.0,1000,106.343007
-693.0,1000,106.343023
0.0,1000,106.343039
0.0,1000,106.344679
-384.0,1000,106.344699
0.0,1000,160.363036
-488.0,1000,160.363075
-3.0,1000,160.363089
0.0,1000,160.3631
-185.0,1000,160.36311
0.0,1000,160.363119
-809.0,1000,160.363128
-199.0,1000,160.363137
-3793.0,1000,160.363147
-875.0,1000,160.363156
-1114.0,1000,160.363165
-615.0,1000,160.363175
-583.0,1000,160.363183
0.0,1000,160.363193
0.0,1000,160.363202
-454.0,1000,160.363211
0.0,1000,211.89751
-465.0,1000,211.897551
-4.0,1000,211.897566
0.0,1000,211.897576
-165.0,1000,211.897585
0.0,1000,211.897594
-718.0,1000,211.897603
-209.0,1000,211.897612
-3700.0,1000,211.897621
-860.0,1000,211.89763
-847.0,1000,211.89764
-394.0,1000,211.897649
-666.0,1000,211.897658
0.0,1000,211.897667
0.0,1000,211.897676
-428.0,1000,211.897685
0.0,1000,265.931905
-487.0,1000,265.931949
-5.0,1000,265.931965
0.0,1000,265.931976
-153.0,1000,265.931985
0.0,1000,265.931995
-682.0,1000,265.932003
-224.0,1000,265.932013
-2998.0,1000,265.932022
-842.0,1000,265.932031
-841.0,1000,265.932041
-373.0,1000,265.93205
-478.0,1000,265.932059
0.0,1000,265.932069
0.0,1000,265.932078
-403.0,1000,265.932087
0.0,1000,316.940251
-368.0,1000,316.94029
-65.0,1000,316.940306
0.0,1000,316.940318
-155.0,1000,316.940328
0.0,1000,316.940339
-589.0,1000,316.940349
-291.0,1000,316.94036
