#{"t_start": 1754895952.3273351, "env_id": "None"}
r,l,t
33.65951,1000,55.126237
17.584581,1000,55.1263
33.509514,1000,55.126324
33.65951,1000,55.126344
25.777004,1000,55.126362
33.65951,1000,55.126379
5.985459,1000,55.126396
25.1845,1000,55.126413
-61.289066,1000,55.12643
5.1121593,1000,55.126447
7.117184,1000,55.126464
8.894684,1000,55.12648
9.93458,1000,55.126497
33.65951,1000,55.126513
33.65951,1000,55.12653
10.54937,1000,55.126547
33.685368,1000,104.281085
18.111515,1000,104.281144
33.31036,1000,104.281169
33.685368,1000,104.281189
25.103466,1000,104.281206
33.685368,1000,104.281224
3.7214932,1000,104.281243
24.585375,1000,104.28126
-62.529915,1000,104.281277
4.1797733,1000,104.281294
3.2729928,1000,104.281311
7.272926,1000,104.282928
12.718608,1000,104.282949
33.685368,1000,104.282961
33.685368,1000,104.282972
10.195567,1000,104.282982
31.862928,1000,156.237027
17.538733,1000,156.237067
31.712934,1000,156.237081
31.862928,1000,156.237091
24.21293,1000,156.237102
31.862928,1000,156.237111
3.2975929,1000,156.237121
23.562963,1000,156.237131
-65.46528,1000,156.23714
3.714833,1000,156.23715
-0.20967092,1000,156.23716
11.092232,1000,156.23717
9.936775,1000,156.23718
31.862928,1000,156.237189
31.862928,1000,156.237199
9.504306,1000,156.237208
32.45086,1000,205.749027
16.769964,1000,205.749065
31.950861,1000,205.749081
32.45086,1000,205.749093
23.41206,1000,205.749105
32.45086,1000,205.74912
3.4157066,1000,205.74913
23.675863,1000,205.74914
-64.51117,1000,205.74915
4.596596,1000,205.74916
1.3960077,1000,205.749169
7.241018,1000,205.749179
13.85088,1000,205.749189
32.45086,1000,205.749198
32.45086,1000,205.749208
14.118924,1000,205.749218
29.521784,1000,257.661436
13.948997,1000,257.661475
29.246786,1000,257.66149
29.521784,1000,257.661504
23.246801,1000,257.661516
29.521784,1000,257.661528
-0.085521415,1000,257.66154
20.54683,1000,257.661552
-62.983727,1000,257.661564
1.5013516,1000,257.661577
4.972544,1000,257.661589
8.294857,1000,257.661601
5.9161444,1000,257.661613
29.521784,1000,257.661625
29.521784,1000,257.661636
8.85699,1000,257.661648
34.04598,1000,307.052406
20.035677,1000,307.052445
33.89598,1000,307.052459
34.04598,1000,307.05247
27.470995,1000,307.05248
34.04598,1000,307.05249
8.671026,1000,307.052499
23.396933,1000,307.052509
-52.876945,1000,307.052518
10.865662,1000,307.052528
9.300006,1000,307.052537
14.3686285,1000,307.052547
11.229208,1000,307.052557
34.04598,1000,307.052566
34.04598,1000,307.052575
14.764852,1000,307.052585
30.665693,1000,358.633708
17.466106,1000,358.633746
30.190699,1000,358.633761
30.665693,1000,358.633771
25.140734,1000,358.633782
30.665693,1000,358.633791
2.2487655,1000,358.633801
22.940723,1000,358.633811
-42.271427,1000,358.63382
8.604432,1000,358.63383
5.2425427,1000,358.633839
8.315171,1000,358.633849
11.037665,1000,358.633858
30.665693,1000,358.633868
30.665693,1000,358.633877
12.298689,1000,358.633886
32.13834,1000,407.734773
16.839941,1000,407.734809
31.413332,1000,407.734823
32.13834,1000,407.734834
27.230856,1000,407.734844
32.13834,1000,407.734854
3.6932259,1000,407.734864
22.613365,1000,407.734873
-42.68584,1000,407.734883
9.096855,1000,407.734893
13.013636,1000,407.734902
9.72889,1000,407.734912
14.451595,1000,407.734921
32.13834,1000,407.734931
32.13834,1000,407.734941
13.536921,1000,407.73495
34.81713,1000,459.250608
22.006954,1000,459.250646
34.81713,1000,459.25066
34.81713,1000,459.250671
29.892141,1000,459.250681
34.81713,1000,459.250691
9.593617,1000,459.2507
25.767273,1000,459.25071
-33.992165,1000,459.25072
13.306717,1000,459.250729
15.170969,1000,459.250738
17.593328,1000,459.250748
16.380508,1000,459.250757
34.81713,1000,459.250767
34.81713,1000,459.250776
19.679483,1000,459.250786
32.25022,1000,508.045877
17.236103,1000,508.045915
31.675219,1000,508.045931
32.25022,1000,508.045944
27.616861,1000,508.045955
32.25022,1000,508.045967
11.475298,1000,508.045978
22.750961,1000,508.045988
-37.77017,1000,508.045999
10.975253,1000,508.046009
7.8790812,1000,508.046055
15.574089,1000,508.046072
16.716425,1000,508.046082
32.25022,1000,508.046092
32.25022,1000,508.046102
13.100727,1000,508.046112
35.40869,1000,559.407439
23.035496,1000,559.407478
35.133698,1000,559.407492
35.40869,1000,559.407503
31.283718,1000,559.407513
35.40869,1000,559.407523
12.524965,1000,559.407532
25.033777,1000,559.407542
-22.120926,1000,559.407551
19.96507,1000,559.407561
18.07104,1000,559.40757
16.347559,1000,559.40758
19.160822,1000,559.40759
35.40869,1000,559.4076
35.40869,1000,559.40761
18.484272,1000,559.407619
34.525547,1000,608.574346
22.02559,1000,608.574385
34.100548,1000,608.574399
34.525547,1000,608.57441
29.15055,1000,608.574421
34.525547,1000,608.574431
13.325568,1000,608.57444
25.175554,1000,608.57445
-28.275272,1000,608.57446
14.881867,1000,608.574469
17.32989,1000,608.574479
15.6046715,1000,608.574489
18.16994,1000,608.574499
34.525547,1000,608.574508
34.525547,1000,608.574518
15.705306,1000,608.574528
33.038555,1000,660.088654
17.652517,1000,660.088692
32.788548,1000,660.088706
33.038555,1000,660.088717
27.215261,1000,660.088728
33.038555,1000,660.088737
15.313836,1000,660.088747
23.213562,1000,660.088757
-24.708338,1000,660.088766
18.119038,1000,660.088776
14.821184,1000,660.088785
12.9195175,1000,660.088795
16.697777,1000,660.088805
33.038555,1000,660.088815
33.038555,1000,660.088825
17.92056,1000,660.088835
32.74836,1000,708.950268
19.390846,1000,708.950307
32.12336,1000,708.950321
32.74836,1000,708.950333
27.874285,1000,708.950343
32.74836,1000,708.950353
15.148378,1000,708.950362
24.473482,1000,708.950371
-22.366722,1000,708.950381
14.037436,1000,708.950391
15.516991,1000,708.9504
14.576771,1000,708.95041
14.950191,1000,708.95042
32.74836,1000,708.95043
32.74836,1000,708.950439
16.476288,1000,708.950449
34.631,1000,760.355203
21.48186,1000,760.355241
34.506,1000,760.355256
34.631,1000,760.355267
30.106016,1000,760.355277
34.631,1000,760.355287
15.756106,1000,760.355296
24.031004,1000,760.355306
-19.462797,1000,760.355316
18.414452,1000,760.355326
17.532877,1000,760.355335
16.519743,1000,760.355345
20.351488,1000,760.355355
34.631,1000,760.355365
34.631,1000,760.355374
18.491331,1000,760.355384
36.210632,1000,809.236661
24.228342,1000,809.2367
36.210632,1000,809.236716
36.210632,1000,809.236729
30.360619,1000,809.236741
36.210632,1000,809.236752
21.00382,1000,809.236763
26.485916,1000,809.236774
-13.158544,1000,809.236784
18.604988,1000,809.236794
18.513863,1000,809.236804
19.449934,1000,809.236817
22.414434,1000,809.23684
36.210632,1000,809.23685
36.210632,1000,809.23686
22.991621,1000,809.23687
32.868668,1000,860.5136
19.319286,1000,860.513643
32.868668,1000,860.513658
32.868668,1000,860.51367
27.843693,1000,860.51368
32.868668,1000,860.51369
14.493796,1000,860.513703
24.368994,1000,860.513715
-11.166355,1000,860.513725
13.320727,1000,860.513734
16.024437,1000,860.513744
14.798585,1000,860.513754
20.033293,1000,860.513763
32.868668,1000,860.513773
32.868668,1000,860.513783
18.228916,1000,860.513793
33.638165,1000,909.182927
19.489235,1000,909.182966
33.638165,1000,909.182981
33.638165,1000,909.182994
29.013174,1000,909.183006
33.638165,1000,909.183017
17.113335,1000,909.183028
27.563303,1000,909.183038
-13.719104,1000,909.183048
17.459309,1000,909.183062
19.789137,1000,909.183072
16.857695,1000,909.183082
19.863174,1000,909.183092
33.638165,1000,909.183101
33.638165,1000,909.183111
21.178923,1000,909.183121
32.912193,1000,960.709667
16.526596,1000,960.709705
32.7872,1000,960.709721
32.912193,1000,960.709734
26.913502,1000,960.709748
32.912193,1000,960.709759
16.862263,1000,960.709769
24.11229,1000,960.70978
-11.8706875,1000,960.709789
18.875347,1000,960.709799
17.437258,1000,960.709809
15.406357,1000,960.709819
20.937252,1000,960.709829
32.912193,1000,960.709838
32.912193,1000,960.709848
19.419891,1000,960.709857
34.245842,1000,1009.513244
21.097755,1000,1009.513283
33.920837,1000,1009.513298
34.245842,1000,1009.513356
28.379168,1000,1009.513375
34.245842,1000,1009.513386
19.545816,1000,1009.513396
25.696115,1000,1009.513406
-9.354852,1000,1009.513417
21.019358,1000,1009.513427
19.44682,1000,1009.513437
18.02026,1000,1009.513447
21.658972,1000,1009.513457
34.245842,1000,1009.513467
34.245842,1000,1009.513476
21.54584,1000,1009.513486
34.964798,1000,1060.760792
21.603085,1000,1060.760832
34.7148,1000,1060.760847
34.964798,1000,1060.760858
29.739767,1000,1060.760868
34.964798,1000,1060.760878
18.200075,1000,1060.760887
26.43978,1000,1060.760897
-6.3555064,1000,1060.760906
18.5001,1000,1060.760916
19.828058,1000,1060.760926
18.296894,1000,1060.760936
22.596113,1000,1060.760946
34.964798,1000,1060.760956
34.964798,1000,1060.760965
20.958942,1000,1060.760975
35.289898,1000,1109.35208
21.669907,1000,1109.35212
35.11491,1000,1109.352138
35.289898,1000,1109.35215
29.714886,1000,1109.35216
35.289898,1000,1109.35217
18.215122,1000,1109.35218
25.51491,1000,1109.35219
-4.4414806,1000,1109.3522
19.892088,1000,1109.35221
18.990458,1000,1109.35222
21.107603,1000,1109.35223
23.148878,1000,1109.352239
35.289898,1000,1109.352249
35.289898,1000,1109.352259
23.700119,1000,1109.352269
30.004341,1000,1160.723988
17.285654,1000,1160.724026
30.004341,1000,1160.724041
30.004341,1000,1160.724051
24.454361,1000,1160.724062
30.004341,1000,1160.724072
13.271931,1000,1160.724082
22.030401,1000,1160.724092
-12.468913,1000,1160.724102
16.154366,1000,1160.724111
16.560877,1000,1160.724121
13.906117,1000,1160.724131
18.129269,1000,1160.724141
30.004341,1000,1160.72415
30.004341,1000,1160.72416
18.760338,1000,1160.72417
31.31824,1000,1209.664719
16.734184,1000,1209.664757
31.16824,1000,1209.664771
31.31824,1000,1209.664782
21.643223,1000,1209.664792
31.31824,1000,1209.664803
17.885809,1000,1209.664813
24.21824,1000,1209.664822
-6.1744103,1000,1209.664832
15.81639,1000,1209.664842
16.973085,1000,1209.664851
14.8629,1000,1209.664861
18.098003,1000,1209.664871
31.31824,1000,1209.66488
31.31824,1000,1209.66489
18.437006,1000,1209.6649
33.831825,1000,1260.96984
21.187407,1000,1260.969879
33.831825,1000,1260.969895
33.831825,1000,1260.969908
28.309172,1000,1260.969919
33.831825,1000,1260.969931
19.856941,1000,1260.969942
25.282461,1000,1260.969956
-5.399918,1000,1260.969967
17.071487,1000,1260.969977
18.656948,1000,1260.969986
19.178062,1000,1260.969996
21.955584,1000,1260.970006
33.831825,1000,1260.970016
33.831825,1000,1260.970026
19.757427,1000,1260.970036
32.355225,1000,1309.936056
19.285397,1000,1309.936097
32.355225,1000,1309.936111
32.355225,1000,1309.936122
24.805212,1000,1309.936132
32.355225,1000,1309.936142
20.305336,1000,1309.936152
26.730215,1000,1309.936161
-8.717307,1000,1309.936171
16.430294,1000,1309.936181
20.412046,1000,1309.93619
16.85957,1000,1309.9362
21.336365,1000,1309.93621
32.355225,1000,1309.936221
32.355225,1000,1309.93623
18.224016,1000,1309.93624
32.31113,1000,1361.219361
19.742308,1000,1361.2194
32.31113,1000,1361.219417
32.31113,1000,1361.21943
24.761696,1000,1361.219441
32.31113,1000,1361.219453
17.053831,1000,1361.219464
26.211124,1000,1361.219475
-7.778176,1000,1361.219485
19.171625,1000,1361.219495
19.813255,1000,1361.219506
18.16344,1000,1361.219516
20.240442,1000,1361.219528
32.31113,1000,1361.219541
32.31113,1000,1361.219551
20.021736,1000,1361.219561
34.42649,1000,1410.177426
23.321394,1000,1410.177467
34.42649,1000,1410.177483
34.42649,1000,1410.177494
28.165503,1000,1410.177504
34.42649,1000,1410.177514
20.201496,1000,1410.177523
28.826479,1000,1410.177533
-2.830615,1000,1410.177542
19.219053,1000,1410.177552
21.378963,1000,1410.177562
20.876852,1000,1410.177572
23.559887,1000,1410.177581
34.42649,1000,1410.177591
34.42649,1000,1410.177601
23.701485,1000,1410.177611
33.081627,1000,1461.54516
18.65664,1000,1461.545197
33.081627,1000,1461.545212
33.081627,1000,1461.545223
22.48163,1000,1461.545233
33.081627,1000,1461.545243
19.606684,1000,1461.545252
25.956627,1000,1461.545262
-7.7924213,1000,1461.545275
21.336214,1000,1461.545288
21.407658,1000,1461.545299
18.037985,1000,1461.545308
22.382595,1000,1461.545318
33.081627,1000,1461.545328
33.081627,1000,1461.545338
21.760813,1000,1461.545347
35.557377,1000,1510.213274
23.607489,1000,1510.213314
35.557377,1000,1510.213328
35.557377,1000,1510.213339
22.782389,1000,1510.213349
35.557377,1000,1510.213359
24.457407,1000,1510.213368
27.832378,1000,1510.213378
-0.8473186,1000,1510.213387
23.507418,1000,1510.213398
22.7337,1000,1510.213407
19.923882,1000,1510.213417
24.699963,1000,1510.213427
35.557377,1000,1510.213436
35.557377,1000,1510.213446
25.263632,1000,1510.213455
34.53382,1000,1561.439835
22.306454,1000,1561.439875
34.25881,1000,1561.439889
34.53382,1000,1561.4399
25.392159,1000,1561.439911
34.53382,1000,1561.439921
20.808945,1000,1561.43993
28.683815,1000,1561.43994
-3.8988578,1000,1561.43995
21.39244,1000,1561.43996
21.394194,1000,1561.439969
19.811064,1000,1561.439979
23.97011,1000,1561.439989
34.53382,1000,1561.439998
34.53382,1000,1561.440008
23.064833,1000,1561.440017
34.616558,1000,1610.304742
19.873102,1000,1610.304781
34.616558,1000,1610.304795
34.616558,1000,1610.304806
26.191553,1000,1610.304816
34.616558,1000,1610.304826
24.991667,1000,1610.304836
26.741962,1000,1610.304845
-0.19491076,1000,1610.304855
22.781385,1000,1610.304865
23.676847,1000,1610.304875
20.11779,1000,1610.304884
22.891119,1000,1610.304895
34.616558,1000,1610.304905
34.616558,1000,1610.304914
23.02568,1000,1610.304924
34.428,1000,1661.3255
21.343166,1000,1661.325541
34.428,1000,1661.325556
34.428,1000,1661.325567
26.178091,1000,1661.325578
34.428,1000,1661.325588
23.503054,1000,1661.325598
28.678047,1000,1661.325607
-1.3383534,1000,1661.325617
23.818228,1000,1661.325627
23.653013,1000,1661.325636
20.591894,1000,1661.325646
24.027994,1000,1661.325656
34.428,1000,1661.325665
34.428,1000,1661.325675
24.2284,1000,1661.325684
32.789837,1000,1710.181231
17.304672,1000,1710.181266
32.789837,1000,1710.18128
32.789837,1000,1710.181292
24.364859,1000,1710.181302
32.789837,1000,1710.181311
21.237194,1000,1710.181321
25.964876,1000,1710.18133
-5.3498917,1000,1710.18134
20.29797,1000,1710.18135
20.691332,1000,1710.18136
16.266642,1000,1710.181369
24.214874,1000,1710.181379
32.789837,1000,1710.181389
32.789837,1000,1710.181398
21.814865,1000,1710.181408
33.33177,1000,1761.548348
20.115616,1000,1761.548386
33.33177,1000,1761.5484
33.33177,1000,1761.548411
26.081749,1000,1761.548421
33.33177,1000,1761.548431
23.956905,1000,1761.548441
28.881763,1000,1761.54845
-2.309768,1000,1761.54846
21.17561,1000,1761.54847
23.207361,1000,1761.54848
18.882772,1000,1761.548489
23.856747,1000,1761.548499
33.33177,1000,1761.548508
33.33177,1000,1761.548518
