#{"t_start": 1755338303.5876713, "env_id": "None"}
r,l,t
0.0,820,49.890239
-389.0,820,49.890306
0.0,820,49.890336
0.0,820,49.890359
-86.0,820,49.89038
0.0,820,49.890401
-515.0,820,49.890421
-107.0,820,49.890441
-2026.0,820,49.890461
-638.0,820,49.890481
-928.0,820,49.890501
-463.0,820,49.89052
-429.0,820,49.89054
0.0,820,49.89056
0.0,820,49.890579
-218.0,820,49.890598
0.0,820,88.696212
-346.0,820,88.696273
-2.0,820,88.696298
0.0,820,88.696318
-119.0,820,88.696335
0.0,820,88.696352
-496.0,820,88.696368
-85.0,820,88.696384
-2218.0,820,88.696401
-637.0,820,88.696418
-653.0,820,88.696435
-417.0,820,88.696452
-415.0,820,88.696468
0.0,820,88.696484
0.0,820,88.696501
-284.0,820,88.696517
0.0,820,131.866496
-253.0,820,131.868284
0.0,820,131.868308
0.0,820,131.868322
-90.0,820,131.868335
0.0,820,131.868347
-371.0,820,131.86836
-77.0,820,131.868372
-1881.0,820,131.868385
-587.0,820,131.868397
-694.0,820,131.86841
-373.0,820,131.868422
-382.0,820,131.868434
0.0,820,131.868446
0.0,820,131.868458
-345.0,820,131.868469
0.0,820,171.167384
-264.0,820,171.167423
-6.0,820,171.167439
0.0,820,171.167451
-100.0,820,171.167462
0.0,820,171.167472
-364.0,820,171.167483
-112.0,820,171.167493
-1970.0,820,171.167503
-371.0,820,171.167514
-650.0,820,171.167524
-271.0,820,171.167534
-281.0,820,171.167543
0.0,820,171.167553
0.0,820,171.167562
-262.0,820,171.167571
0.0,820,214.20268
-264.0,820,214.202718
0.0,820,214.202736
0.0,820,214.202749
-104.0,820,214.202762
0.0,820,214.202775
-573.0,820,214.202787
-126.0,820,214.202799
-2147.0,820,214.20281
-571.0,820,214.202822
-612.0,820,214.202834
-298.0,820,214.202846
-335.0,820,214.202857
0.0,820,214.202869
0.0,820,214.202881
-276.0,820,214.202892
0.0,820,252.53495
-252.0,820,252.534983
0.0,820,252.534999
0.0,820,252.535011
-93.0,820,252.535021
0.0,820,252.535032
-421.0,820,252.535042
-108.0,820,252.535052
-1217.0,820,252.535062
-324.0,820,252.535072
-462.0,820,252.535081
-265.0,820,252.535091
-357.0,820,252.535101
0.0,820,252.53511
0.0,820,252.53512
-239.0,820,252.535129
0.0,820,291.160856
-249.0,820,291.160894
-2.0,820,291.16091
0.0,820,291.160922
-102.0,820,291.160934
0.0,820,291.160944
-371.0,820,291.160955
-100.0,820,291.160965
-1235.0,820,291.160975
-324.0,820,291.160985
-493.0,820,291.160994
-225.0,820,291.161004
-326.0,820,291.161014
0.0,820,291.161023
0.0,820,291.161033
-216.0,820,291.161042
0.0,820,333.937572
-213.0,820,333.937612
0.0,820,333.937628
0.0,820,333.93764
-92.0,820,333.937651
0.0,820,333.937661
-301.0,820,333.937671
-75.0,820,333.937681
-1136.0,820,333.937692
-343.0,820,333.937703
-467.0,820,333.937712
-280.0,820,333.937722
-268.0,820,333.937732
0.0,820,333.937742
0.0,820,333.937751
-189.0,820,333.937761
0.0,820,372.268285
-228.0,820,372.268325
-1.0,820,372.268341
0.0,820,372.268353
-117.0,820,372.268363
0.0,820,372.268374
-305.0,820,372.268384
-85.0,820,372.268395
-1252.0,820,372.268405
-291.0,820,372.268415
-381.0,820,372.268425
-200.0,820,372.268435
-252.0,820,372.268445
0.0,820,372.268454
0.0,820,372.268463
-229.0,820,372.268472
0.0,820,414.994582
-231.0,820,414.99462
0.0,820,414.994635
0.0,820,414.994647
-79.0,820,414.994657
0.0,820,414.994668
-252.0,820,414.994678
-71.0,820,414.994688
-1257.0,820,414.994698
-342.0,820,414.994708
-327.0,820,414.994717
-273.0,820,414.994727
-234.0,820,414.994736
0.0,820,414.994746
0.0,820,414.994755
-179.0,820,414.994764
0.0,820,453.251731
-168.0,820,453.251766
0.0,820,453.251781
0.0,820,453.251793
-132.0,820,453.251804
0.0,820,453.251816
-271.0,820,453.251826
-93.0,820,453.251837
-983.0,820,453.251846
-276.0,820,453.251856
-293.0,820,453.251866
-182.0,820,453.251876
-171.0,820,453.251885
0.0,820,453.251895
0.0,820,453.251904
-183.0,820,453.251914
0.0,820,492.638947
-126.0,820,492.638983
0.0,820,492.638999
0.0,820,492.639011
-108.0,820,492.639021
0.0,820,492.639032
-244.0,820,492.639042
-93.0,820,492.639052
-1055.0,820,492.639063
-203.0,820,492.639072
-317.0,820,492.639082
-219.0,820,492.639128
-262.0,820,492.639144
0.0,820,492.639154
0.0,820,492.639163
-175.0,820,492.639172
0.0,820,539.149949
-265.0,820,539.149987
0.0,820,539.150003
0.0,820,539.150016
-101.0,820,539.150027
0.0,820,539.150039
-228.0,820,539.15005
-84.0,820,539.150061
-981.0,820,539.150073
-202.0,820,539.150084
-269.0,820,539.150095
-186.0,820,539.150106
-210.0,820,539.150118
0.0,820,539.150129
0.0,820,539.15014
-198.0,820,539.150151
0.0,820,581.21378
-170.0,820,581.213829
0.0,820,581.21385
0.0,820,581.213867
-97.0,820,581.213883
0.0,820,581.213901
-185.0,820,581.213919
-60.0,820,581.21394
-855.0,820,581.21396
-261.0,820,581.213981
-233.0,820,581.213995
-175.0,820,581.214005
-186.0,820,581.214014
0.0,820,581.214023
0.0,820,581.214032
-206.0,820,581.214041
0.0,820,624.857425
-201.0,820,624.857461
0.0,820,624.857478
0.0,820,624.857492
-98.0,820,624.857504
0.0,820,624.857517
-215.0,820,624.857529
-106.0,820,624.857541
