#{"t_start": 1755110689.9610727, "env_id": "None"}
r,l,t
-143.66045,1000,60.035495
-143.66045,1000,60.035561
-143.66045,1000,60.035594
-143.66045,1000,60.035634
-143.66045,1000,60.035665
-143.66045,1000,60.035695
-143.66045,1000,60.035726
-143.66045,1000,60.035756
-143.66045,1000,60.035788
-143.66045,1000,60.035818
-143.66045,1000,60.03585
-143.66045,1000,60.03588
-143.66045,1000,60.03591
-143.66045,1000,60.03594
-143.66045,1000,60.03597
-143.66045,1000,60.035993
-143.8505,1000,117.444797
-143.8505,1000,117.444879
-143.8505,1000,117.444905
-143.8505,1000,117.444924
-143.8505,1000,117.444941
-143.8505,1000,117.444958
-143.8505,1000,117.444974
-143.8505,1000,117.44499
-143.8505,1000,117.445006
-143.8505,1000,117.445022
-143.8505,1000,117.44674
-143.8505,1000,117.446822
-143.8505,1000,117.446845
-143.8505,1000,117.446863
-143.8505,1000,117.446881
-143.8505,1000,117.446898
-144.95471,1000,178.0524
-144.95471,1000,178.052442
-144.95471,1000,178.052456
-144.95471,1000,178.052466
-144.95471,1000,178.052476
-144.95471,1000,178.052485
-144.95471,1000,178.052495
-144.95471,1000,178.052504
-144.95471,1000,178.052513
-144.95471,1000,178.052522
-144.95471,1000,178.052532
-144.95471,1000,178.052541
-144.95471,1000,178.052588
-144.95471,1000,178.052599
-144.95471,1000,178.052609
-144.95471,1000,178.052618
-146.15137,1000,235.666148
-146.15137,1000,235.666192
-146.15137,1000,235.666205
-146.15137,1000,235.666216
-146.15137,1000,235.666225
-146.15137,1000,235.666234
-146.15137,1000,235.666244
-146.15137,1000,235.666253
-146.15137,1000,235.666262
-146.15137,1000,235.666271
-146.15137,1000,235.666281
-146.15137,1000,235.66629
-146.15137,1000,235.666299
-146.15137,1000,235.666308
-146.15137,1000,235.666317
-146.15137,1000,235.666327
-145.42258,1000,295.786585
-145.42258,1000,295.786623
-145.42258,1000,295.786638
-145.42258,1000,295.786651
-145.42258,1000,295.786662
-145.42258,1000,295.786673
-145.42258,1000,295.786683
-145.42258,1000,295.786694
