#{"t_start": 1755093353.4715436, "env_id": "None"}
r,l,t
237.7218,1000,60.526585
237.7218,1000,60.526697
237.7218,1000,60.526733
237.7218,1000,60.52676
237.7218,1000,60.526787
237.7218,1000,60.526814
237.7218,1000,60.526841
237.7218,1000,60.526867
237.7218,1000,60.526895
237.7218,1000,60.526925
237.7218,1000,60.526952
237.7218,1000,60.526977
237.7218,1000,60.527002
237.7218,1000,60.527029
237.7218,1000,60.527056
237.7218,1000,60.527081
242.87502,1000,118.146084
242.87502,1000,118.146152
242.87502,1000,118.146176
242.87502,1000,118.146194
242.87502,1000,118.146211
242.87502,1000,118.146227
242.87502,1000,118.146243
242.87502,1000,118.146258
242.87502,1000,118.146274
242.87502,1000,118.14629
242.87502,1000,118.146306
242.87502,1000,118.146461
242.87502,1000,118.146482
242.87502,1000,118.146494
242.87502,1000,118.146505
242.87502,1000,118.146515
145.88544,1000,182.681232
145.88544,1000,182.681272
145.88544,1000,182.681289
145.88544,1000,182.681303
145.88544,1000,182.681317
145.88544,1000,182.68133
145.88544,1000,182.681342
145.88544,1000,182.681354
145.88544,1000,182.681366
145.88544,1000,182.681378
145.88544,1000,182.68139
145.88544,1000,182.681402
145.88544,1000,182.681414
145.88544,1000,182.681427
145.88544,1000,182.681438
145.88544,1000,182.68145
296.92868,1000,240.747546
296.92868,1000,240.747586
296.92868,1000,240.747601
296.92868,1000,240.747612
296.92868,1000,240.747623
296.92868,1000,240.747634
296.92868,1000,240.747645
296.92868,1000,240.747654
296.92868,1000,240.747664
296.92868,1000,240.747674
296.92868,1000,240.747684
296.92868,1000,240.747693
296.92868,1000,240.747703
296.92868,1000,240.747718
296.92868,1000,240.747727
296.92868,1000,240.747736
268.42404,1000,302.378042
268.42404,1000,302.378098
268.42404,1000,302.378132
268.42404,1000,302.378154
268.42404,1000,302.378175
268.42404,1000,302.378197
268.42404,1000,302.378212
268.42404,1000,302.378224
268.42404,1000,302.378241
268.42404,1000,302.378259
268.42404,1000,302.37831
268.42404,1000,302.378328
268.42404,1000,302.378345
268.42404,1000,302.378362
268.42404,1000,302.37838
268.42404,1000,302.378405
281.2935,1000,361.579966
281.2935,1000,361.580003
281.2935,1000,361.580018
281.2935,1000,361.58003
281.2935,1000,361.580042
281.2935,1000,361.580054
281.2935,1000,361.580065
281.2935,1000,361.580077
281.2935,1000,361.580088
281.2935,1000,361.5801
281.2935,1000,361.580111
281.2935,1000,361.580123
281.2935,1000,361.580135
281.2935,1000,361.580147
281.2935,1000,361.580158
281.2935,1000,361.58017
304.09134,1000,421.978148
304.09134,1000,421.978193
304.09134,1000,421.978208
304.09134,1000,421.978219
304.09134,1000,421.978228
304.09134,1000,421.978238
304.09134,1000,421.978247
304.09134,1000,421.978256
304.09134,1000,421.978265
304.09134,1000,421.978275
304.09134,1000,421.978284
304.09134,1000,421.978293
304.09134,1000,421.978302
304.09134,1000,421.978312
304.09134,1000,421.978321
304.09134,1000,421.97833
222.33913,1000,480.22031
222.33913,1000,480.220356
222.33913,1000,480.220372
222.33913,1000,480.220384
222.33913,1000,480.220396
222.33913,1000,480.220408
222.33913,1000,480.22042
222.33913,1000,480.220432
222.33913,1000,480.220443
222.33913,1000,480.220455
222.33913,1000,480.220467
