#{"t_start": 1755749208.5604117, "env_id": "None"}
r,l,t
0.0,820,51.711293
-303.0,820,51.711347
-3.0,820,51.711372
0.0,820,51.71139
-87.0,820,51.711407
0.0,820,51.711423
-514.0,820,51.711439
-106.0,820,51.711454
-2402.0,820,51.71147
-502.0,820,51.711486
-679.0,820,51.711502
-381.0,820,51.711517
-409.0,820,51.711533
0.0,820,51.711548
0.0,820,51.711563
-200.0,820,51.711578
0.0,820,99.641343
-292.0,820,99.641397
0.0,820,99.641421
0.0,820,99.641439
-89.0,820,99.641455
0.0,820,99.641472
-641.0,820,99.641487
-123.0,820,99.641503
-2107.0,820,99.641519
-598.0,820,99.641534
-620.0,820,99.64155
-480.0,820,99.641565
-426.0,820,99.641581
0.0,820,99.641596
0.0,820,99.641611
-221.0,820,99.641626
0.0,820,151.577857
-236.0,820,151.579493
-15.0,820,151.579516
0.0,820,151.57953
-107.0,820,151.57954
0.0,820,151.579551
-495.0,820,151.579561
-121.0,820,151.579571
-2400.0,820,151.579581
-628.0,820,151.579591
-557.0,820,151.579601
-295.0,820,151.579611
-427.0,820,151.579621
0.0,820,151.579631
0.0,820,151.57964
-276.0,820,151.579649
0.0,820,199.052971
-307.0,820,199.053005
-12.0,820,199.053021
0.0,820,199.053033
-83.0,820,199.053044
0.0,820,199.053054
-606.0,820,199.053064
-140.0,820,199.053074
-1972.0,820,199.053084
-666.0,820,199.053094
-453.0,820,199.053103
-442.0,820,199.053113
-414.0,820,199.053122
0.0,820,199.053131
0.0,820,199.05314
-216.0,820,199.053149
0.0,820,250.24517
-269.0,820,250.245203
-4.0,820,250.245219
0.0,820,250.24523
-93.0,820,250.245241
0.0,820,250.245252
-592.0,820,250.245261
-138.0,820,250.245271
-1942.0,820,250.245281
-751.0,820,250.245291
-597.0,820,250.245299
-332.0,820,250.245309
-387.0,820,250.245318
0.0,820,250.245326
0.0,820,250.245335
-202.0,820,250.245344
0.0,820,297.841472
-275.0,820,297.841506
-1.0,820,297.841521
0.0,820,297.841533
-98.0,820,297.841544
0.0,820,297.841555
-538.0,820,297.841565
-89.0,820,297.841575
-1623.0,820,297.841585
-333.0,820,297.841595
-505.0,820,297.841604
-188.0,820,297.841614
-441.0,820,297.841623
0.0,820,297.841632
0.0,820,297.841641
-333.0,820,297.84165
0.0,820,345.416337
-212.0,820,345.41637
-8.0,820,345.416387
0.0,820,345.4164
-84.0,820,345.416413
0.0,820,345.416425
-524.0,820,345.416437
-133.0,820,345.416448
-1342.0,820,345.41646
-358.0,820,345.416471
-453.0,820,345.416483
-301.0,820,345.416494
