#{"t_start": 1754864633.8012803, "env_id": "None"}
r,l,t
31.513672,1000,54.717481
15.997696,1000,54.717545
31.063675,1000,54.71757
31.513672,1000,54.71759
23.31368,1000,54.717608
31.513672,1000,54.717627
3.553111,1000,54.717645
19.714054,1000,54.717662
-58.74433,1000,54.717679
-3.9466252,1000,54.717695
2.0804238,1000,54.717712
9.424944,1000,54.717729
7.8138356,1000,54.717746
31.513672,1000,54.717762
31.513672,1000,54.717779
10.592878,1000,54.717796
32.66412,1000,105.765382
18.273626,1000,105.765444
32.539116,1000,105.765469
32.66412,1000,105.765488
24.431759,1000,105.765506
32.66412,1000,105.765523
0.44252813,1000,105.765542
22.839136,1000,105.765559
-65.60712,1000,105.765576
6.2748632,1000,105.765592
2.6647835,1000,105.767221
6.364567,1000,105.767242
10.087703,1000,105.767255
32.66412,1000,105.767266
32.66412,1000,105.767276
13.910821,1000,105.767287
33.333027,1000,159.420094
18.933437,1000,159.420137
32.75804,1000,159.420152
33.333027,1000,159.420164
24.633137,1000,159.420174
33.333027,1000,159.420184
4.338997,1000,159.420193
22.283043,1000,159.420202
-63.248352,1000,159.420212
8.463322,1000,159.420221
1.1674507,1000,159.420231
13.297643,1000,159.420241
7.868242,1000,159.42025
33.333027,1000,159.42026
33.333027,1000,159.420269
11.020564,1000,159.420282
33.201847,1000,210.307072
20.177015,1000,210.30711
32.776844,1000,210.307124
33.201847,1000,210.307135
25.90187,1000,210.307145
33.201847,1000,210.307154
3.569125,1000,210.307164
24.026867,1000,210.307173
-66.705215,1000,210.307183
1.8107499,1000,210.307193
3.8662665,1000,210.307202
10.33786,1000,210.307212
9.123607,1000,210.307222
33.201847,1000,210.307231
33.201847,1000,210.307241
8.88105,1000,210.30725
35.164055,1000,264.128598
17.890398,1000,264.128638
34.814068,1000,264.128654
35.164055,1000,264.128667
28.614046,1000,264.128679
35.164055,1000,264.128691
11.4686775,1000,264.128703
25.964052,1000,264.128716
-45.979767,1000,264.128727
-0.66599095,1000,264.12874
8.722324,1000,264.128752
15.41687,1000,264.128765
10.863676,1000,264.128777
35.164055,1000,264.128789
35.164055,1000,264.128801
15.247134,1000,264.128813
32.242405,1000,315.075688
17.01939,1000,315.075726
32.242405,1000,315.075742
32.242405,1000,315.075754
21.048468,1000,315.075766
32.242405,1000,315.075777
5.0603504,1000,315.075788
22.992434,1000,315.075799
-54.49006,1000,315.075809
4.451016,1000,315.075819
6.6682324,1000,315.075829
11.212063,1000,315.075839
13.018904,1000,315.075849
32.242405,1000,315.075862
32.242405,1000,315.075872
13.358463,1000,315.075882
36.440002,1000,368.657587
20.509293,1000,368.657625
36.315006,1000,368.65764
36.440002,1000,368.657652
30.247177,1000,368.657664
36.440002,1000,368.657675
12.056909,1000,368.657686
27.51504,1000,368.657696
-30.675455,1000,368.657707
8.80002,1000,368.657717
13.083434,1000,368.657727
17.849583,1000,368.657737
14.803394,1000,368.657746
36.440002,1000,368.657756
36.440002,1000,368.657766
18.991526,1000,368.657778
34.380985,1000,419.360832
20.156708,1000,419.360871
33.15597,1000,419.360885
34.380985,1000,419.360896
27.980963,1000,419.360906
34.380985,1000,419.360916
10.760981,1000,419.360925
22.755972,1000,419.360935
-33.407284,1000,419.360944
10.189614,1000,419.360954
11.083288,1000,419.360964
16.335854,1000,419.360973
15.906026,1000,419.360983
34.380985,1000,419.360992
34.380985,1000,419.361002
19.035286,1000,419.361012
32.494675,1000,472.907892
19.147432,1000,472.907933
32.169685,1000,472.907946
32.494675,1000,472.907957
27.844725,1000,472.907967
32.494675,1000,472.907977
6.6875257,1000,472.907986
23.55977,1000,472.907996
-33.63456,1000,472.908005
8.998381,1000,472.908015
14.001846,1000,472.908025
11.313946,1000,472.908034
15.3947115,1000,472.908044
32.494675,1000,472.908053
32.494675,1000,472.908063
15.233008,1000,472.908072
33.7611,1000,523.501116
16.086542,1000,523.501157
33.511097,1000,523.501173
33.7611,1000,523.501185
25.28635,1000,523.501198
33.7611,1000,523.501209
5.8611526,1000,523.501221
24.011082,1000,523.501233
-39.8928,1000,523.501298
14.575644,1000,523.501317
10.843248,1000,523.50133
13.882951,1000,523.501342
15.886175,1000,523.501354
33.7611,1000,523.501366
33.7611,1000,523.501378
18.300404,1000,523.50139
34.200935,1000,577.339502
18.076286,1000,577.33954
33.52592,1000,577.339554
34.200935,1000,577.339565
26.550999,1000,577.339575
34.200935,1000,577.339585
9.618896,1000,577.339594
23.304716,1000,577.339604
-31.341463,1000,577.339613
14.224898,1000,577.339623
16.804287,1000,577.339632
17.245846,1000,577.339641
18.066671,1000,577.339651
34.200935,1000,577.33966
34.200935,1000,577.339669
20.138134,1000,577.339679
32.042862,1000,641.005637
16.800692,1000,641.005676
31.892868,1000,641.00569
32.042862,1000,641.005701
23.09287,1000,641.005711
32.042862,1000,641.00572
7.3274617,1000,641.00573
24.06799,1000,641.005739
-29.762005,1000,641.005749
12.245352,1000,641.005759
14.373207,1000,641.005768
15.842886,1000,641.005778
12.592899,1000,641.005787
32.042862,1000,641.005796
32.042862,1000,641.005806
18.217876,1000,641.005815
37.254025,1000,694.354512
21.155643,1000,694.354551
36.579025,1000,694.354565
37.254025,1000,694.354576
31.529047,1000,694.354586
37.254025,1000,694.354595
12.486529,1000,694.354605
28.354021,1000,694.354614
-20.963322,1000,694.354624
19.095701,1000,694.354634
21.233967,1000,694.354643
20.959814,1000,694.354653
22.005518,1000,694.354662
37.254025,1000,694.354672
37.254025,1000,694.354681
21.939222,1000,694.354691
34.16969,1000,743.647246
16.42401,1000,743.647284
33.794693,1000,743.647301
34.16969,1000,743.647315
28.844692,1000,743.647328
34.16969,1000,743.647341
11.461875,1000,743.647354
25.894678,1000,743.647366
-20.314291,1000,743.647378
17.684406,1000,743.64739
19.34621,1000,743.647403
17.776579,1000,743.647415
17.30803,1000,743.647427
34.16969,1000,743.647439
34.16969,1000,743.647451
20.64891,1000,743.647463
33.2439,1000,794.554076
11.794586,1000,794.55411
33.2439,1000,794.554126
33.2439,1000,794.554139
28.493898,1000,794.554151
33.2439,1000,794.554162
9.312623,1000,794.554173
25.04394,1000,794.554184
-22.967007,1000,794.554194
14.339612,1000,794.554205
16.975506,1000,794.554215
17.328043,1000,794.554225
17.218918,1000,794.554235
33.2439,1000,794.554245
33.2439,1000,794.554255
22.418894,1000,794.554265
32.874443,1000,843.22083
18.15516,1000,843.220864
32.874443,1000,843.22088
32.874443,1000,843.220893
26.424414,1000,843.220904
32.874443,1000,843.220916
11.844464,1000,843.220927
25.549706,1000,843.220937
-19.748083,1000,843.220948
18.489658,1000,843.220958
16.875496,1000,843.220969
14.574088,1000,843.220979
17.624458,1000,843.220989
32.874443,1000,843.220999
32.874443,1000,843.221009
17.94964,1000,843.221019
34.63122,1000,895.026176
19.031527,1000,895.026214
34.381233,1000,895.026229
34.63122,1000,895.026242
29.481272,1000,895.026253
34.63122,1000,895.026263
14.256635,1000,895.026274
27.05705,1000,895.026285
-17.356628,1000,895.026295
18.23645,1000,895.026305
18.91554,1000,895.026315
18.608122,1000,895.026325
18.589819,1000,895.026335
34.63122,1000,895.026345
34.63122,1000,895.026355
24.181265,1000,895.026365
31.757404,1000,943.619928
15.1085825,1000,943.619965
31.457405,1000,943.619981
31.757404,1000,943.619993
25.507425,1000,943.620005
31.757404,1000,943.620016
13.079837,1000,943.620027
25.207417,1000,943.620038
-17.548782,1000,943.620049
13.1325445,1000,943.620059
16.95369,1000,943.620069
16.173899,1000,943.620079
19.158112,1000,943.620089
31.757404,1000,943.6201
31.757404,1000,943.62011
20.18242,1000,943.62012
32.48656,1000,994.607288
19.66193,1000,994.607323
32.36156,1000,994.607338
32.48656,1000,994.60735
27.53657,1000,994.607361
32.48656,1000,994.607373
15.036923,1000,994.607383
24.86183,1000,994.607394
-17.546576,1000,994.607404
18.73666,1000,994.607415
17.5969,1000,994.607425
16.171,1000,994.607435
17.024956,1000,994.607445
32.48656,1000,994.607455
32.48656,1000,994.607465
20.961859,1000,994.607475
34.710644,1000,1042.956914
19.838446,1000,1042.956954
34.710644,1000,1042.957011
34.710644,1000,1042.957029
30.13565,1000,1042.95704
34.710644,1000,1042.957051
17.416845,1000,1042.957061
28.435987,1000,1042.95707
-9.7185135,1000,1042.95708
18.778458,1000,1042.95709
21.488537,1000,1042.957099
19.110714,1000,1042.957109
21.725254,1000,1042.957119
34.710644,1000,1042.957129
34.710644,1000,1042.957139
21.85931,1000,1042.957148
34.33642,1000,1093.781181
19.561985,1000,1093.781217
34.33642,1000,1093.781232
34.33642,1000,1093.781243
27.104,1000,1093.781253
34.33642,1000,1093.781263
15.938932,1000,1093.781272
26.16317,1000,1093.781281
-11.562712,1000,1093.781291
19.211731,1000,1093.781301
20.96396,1000,1093.781311
18.764408,1000,1093.78132
20.565649,1000,1093.78133
34.33642,1000,1093.781339
34.33642,1000,1093.781349
23.392445,1000,1093.781358
33.993347,1000,1142.440109
13.545672,1000,1142.440143
33.993347,1000,1142.440159
33.993347,1000,1142.440171
29.318342,1000,1142.440183
33.993347,1000,1142.440194
16.41839,1000,1142.440205
27.84336,1000,1142.440215
-8.636299,1000,1142.440226
19.943386,1000,1142.440236
20.993692,1000,1142.440246
18.16615,1000,1142.440256
20.593384,1000,1142.440266
33.993347,1000,1142.440276
33.993347,1000,1142.440286
20.922606,1000,1142.440296
34.947536,1000,1193.527442
20.697865,1000,1193.527479
34.947536,1000,1193.527496
34.947536,1000,1193.52751
31.015059,1000,1193.527523
34.947536,1000,1193.527536
17.473715,1000,1193.527549
27.423893,1000,1193.527561
-7.689826,1000,1193.527574
21.525496,1000,1193.527586
21.223663,1000,1193.527598
17.659447,1000,1193.52761
22.307755,1000,1193.527623
34.947536,1000,1193.527635
34.947536,1000,1193.527647
24.976755,1000,1193.527659
31.790365,1000,1242.243335
13.64145,1000,1242.243375
31.615362,1000,1242.243391
31.790365,1000,1242.243404
26.215443,1000,1242.243416
31.790365,1000,1242.243427
15.136471,1000,1242.243439
24.16573,1000,1242.24345
-7.9351606,1000,1242.243461
17.372068,1000,1242.243471
18.36694,1000,1242.243481
15.346153,1000,1242.243491
19.840395,1000,1242.243502
31.790365,1000,1242.243512
31.790365,1000,1242.243522
23.056826,1000,1242.243532
31.669312,1000,1293.51797
14.694793,1000,1293.518004
31.669312,1000,1293.518021
31.669312,1000,1293.518034
28.994297,1000,1293.518045
31.669312,1000,1293.518056
14.244791,1000,1293.518067
25.969309,1000,1293.518079
-10.537735,1000,1293.518089
16.086313,1000,1293.5181
19.469664,1000,1293.51811
15.934618,1000,1293.51812
18.919312,1000,1293.51813
31.669312,1000,1293.51814
31.669312,1000,1293.51815
23.267822,1000,1293.51816
34.949528,1000,1342.195255
19.308922,1000,1342.195292
34.949528,1000,1342.195309
34.949528,1000,1342.195323
30.249546,1000,1342.195337
34.949528,1000,1342.19535
21.074585,1000,1342.195362
30.399534,1000,1342.195374
-4.598352,1000,1342.195387
22.804708,1000,1342.195399
23.49956,1000,1342.195411
19.723436,1000,1342.195423
23.60811,1000,1342.195436
34.949528,1000,1342.195447
34.949528,1000,1342.19546
25.855562,1000,1342.195472
34.087383,1000,1393.240231
20.012661,1000,1393.240267
34.087383,1000,1393.240281
34.087383,1000,1393.240292
26.782398,1000,1393.240302
34.087383,1000,1393.240312
19.41262,1000,1393.240322
30.06239,1000,1393.240331
-6.8572464,1000,1393.240341
20.592453,1000,1393.24035
20.895298,1000,1393.24036
16.892893,1000,1393.24037
22.137396,1000,1393.240379
34.087383,1000,1393.240389
34.087383,1000,1393.240399
24.716589,1000,1393.240408
35.28352,1000,1441.821187
19.35854,1000,1441.821225
35.158524,1000,1441.821239
35.28352,1000,1441.82125
28.26684,1000,1441.821261
35.28352,1000,1441.821271
21.59582,1000,1441.82128
30.234013,1000,1441.82129
-2.3147278,1000,1441.8213
22.458612,1000,1441.821309
23.783752,1000,1441.821319
20.320995,1000,1441.821329
23.83354,1000,1441.821338
35.28352,1000,1441.821348
35.28352,1000,1441.821357
27.237736,1000,1441.821367
31.710672,1000,1492.332939
19.1609,1000,1492.332975
31.710672,1000,1492.332992
31.710672,1000,1492.333006
25.385674,1000,1492.333019
31.710672,1000,1492.333032
17.963732,1000,1492.333048
26.486073,1000,1492.333064
-4.8129168,1000,1492.333077
17.195177,1000,1492.333089
19.862125,1000,1492.333102
17.6001,1000,1492.333114
21.191696,1000,1492.333126
31.710672,1000,1492.333138
31.710672,1000,1492.33315
21.457396,1000,1492.333163
33.609604,1000,1540.690616
18.811138,1000,1540.690652
33.609604,1000,1540.690668
33.609604,1000,1540.69068
26.584621,1000,1540.690691
33.609604,1000,1540.690702
16.793638,1000,1540.690713
29.886292,1000,1540.690724
-4.650235,1000,1540.690734
21.239607,1000,1540.690744
22.339804,1000,1540.690755
18.252008,1000,1540.690764
21.984612,1000,1540.690774
33.609604,1000,1540.690784
33.609604,1000,1540.690794
24.758135,1000,1540.690804
33.61321,1000,1591.356735
17.538483,1000,1591.356768
33.61321,1000,1591.356784
33.61321,1000,1591.356797
26.701357,1000,1591.356808
33.61321,1000,1591.35682
18.365086,1000,1591.356831
28.763237,1000,1591.356842
-1.5209842,1000,1591.356853
21.34684,1000,1591.356863
20.889935,1000,1591.356874
19.513302,1000,1591.356884
22.966162,1000,1591.356894
33.61321,1000,1591.356905
33.61321,1000,1591.356914
24.39433,1000,1591.356924
36.08452,1000,1639.597973
19.484898,1000,1639.598011
36.08452,1000,1639.598026
36.08452,1000,1639.598038
28.059551,1000,1639.59805
36.08452,1000,1639.598061
21.034939,1000,1639.598072
32.08455,1000,1639.598083
-2.039998,1000,1639.598094
22.50962,1000,1639.598104
23.836092,1000,1639.598114
22.311016,1000,1639.598125
26.459549,1000,1639.598135
36.08452,1000,1639.598145
36.08452,1000,1639.598155
29.097303,1000,1639.598165
30.752861,1000,1690.709043
15.578267,1000,1690.70908
30.752861,1000,1690.709097
30.752861,1000,1690.709111
25.327856,1000,1690.709124
30.752861,1000,1690.709137
17.880835,1000,1690.709149
26.927866,1000,1690.709162
-4.614659,1000,1690.709173
19.627995,1000,1690.709186
18.003046,1000,1690.709198
16.874083,1000,1690.70921
20.483875,1000,1690.709222
30.752861,1000,1690.709234
30.752861,1000,1690.709246
23.657074,1000,1690.709259
32.54711,1000,1739.25954
18.922386,1000,1739.259573
32.54711,1000,1739.259589
32.54711,1000,1739.259602
10.380442,1000,1739.259614
32.54711,1000,1739.259625
19.601467,1000,1739.259636
28.897099,1000,1739.259647
-1.1641936,1000,1739.259657
21.737438,1000,1739.259668
20.622465,1000,1739.259678
18.395582,1000,1739.259688
21.097157,1000,1739.259698
32.54711,1000,1739.259709
32.54711,1000,1739.259719
25.851315,1000,1739.259729
34.354046,1000,1790.108348
20.781046,1000,1790.108382
34.354046,1000,1790.108398
34.354046,1000,1790.108411
23.379065,1000,1790.108423
34.354046,1000,1790.108434
23.211346,1000,1790.108445
30.104052,1000,1790.108455
0.26961792,1000,1790.108466
23.660315,1000,1790.108477
24.580133,1000,1790.108487
19.553444,1000,1790.108497
24.754072,1000,1790.108507
34.354046,1000,1790.108517
34.354046,1000,1790.108528
27.363045,1000,1790.108538
30.758043,1000,1838.522558
16.614143,1000,1838.522593
30.758043,1000,1838.522609
30.758043,1000,1838.522621
22.383074,1000,1838.522632
30.758043,1000,1838.522643
18.358122,1000,1838.522654
25.408035,1000,1838.522664
-5.5358477,1000,1838.522674
20.108028,1000,1838.522685
21.061218,1000,1838.522695
15.869639,1000,1838.522705
18.908022,1000,1838.522715
30.758043,1000,1838.522725
30.758043,1000,1838.522734
23.787254,1000,1838.522744
30.371716,1000,1889.110503
17.022041,1000,1889.110541
30.371716,1000,1889.110557
30.371716,1000,1889.11057
18.446716,1000,1889.110582
30.371716,1000,1889.110593
19.172264,1000,1889.110605
26.772173,1000,1889.110615
-6.7239637,1000,1889.110626
19.529146,1000,1889.110636
18.577015,1000,1889.110646
16.883404,1000,1889.110656
