#{"t_start": 1754880182.6564178, "env_id": "None"}
r,l,t
34.54722,1000,53.006469
19.305532,1000,53.006526
34.42222,1000,53.006552
34.54722,1000,53.006571
27.404387,1000,53.006589
34.54722,1000,53.006606
6.9723077,1000,53.006623
26.0972,1000,53.006639
-71.10555,1000,53.006656
5.8582764,1000,53.006673
4.2801833,1000,53.006689
17.628487,1000,53.006706
11.469524,1000,53.006722
34.54722,1000,53.006739
34.54722,1000,53.006756
12.946088,1000,53.006773
32.019417,1000,102.536046
17.794857,1000,102.536099
32.019417,1000,102.536125
32.019417,1000,102.536144
23.461952,1000,102.536162
32.019417,1000,102.536179
-0.30354902,1000,102.536196
21.52963,1000,102.536214
-69.112274,1000,102.53623
-0.6035552,1000,102.536247
2.3997884,1000,102.537859
11.450382,1000,102.53788
7.2529955,1000,102.537893
32.019417,1000,102.537904
32.019417,1000,102.537914
12.242998,1000,102.537925
36.971527,1000,154.38874
22.422117,1000,154.388774
36.971527,1000,154.38879
36.971527,1000,154.388803
27.097244,1000,154.388814
36.971527,1000,154.388825
7.121688,1000,154.388836
27.44654,1000,154.388847
-64.55985,1000,154.388857
2.882644,1000,154.388867
5.3364043,1000,154.388877
10.648416,1000,154.388887
10.970093,1000,154.388897
36.971527,1000,154.388907
36.971527,1000,154.388917
14.358946,1000,154.388927
35.33885,1000,203.843977
21.48989,1000,203.844013
34.81384,1000,203.844028
35.33885,1000,203.844041
26.756382,1000,203.844052
35.33885,1000,203.844063
8.113998,1000,203.844074
23.489544,1000,203.844084
-51.54439,1000,203.844095
4.8919215,1000,203.844105
3.9146485,1000,203.844115
9.143943,1000,203.844125
12.039737,1000,203.844135
35.33885,1000,203.844145
35.33885,1000,203.844155
15.488876,1000,203.844165
35.298813,1000,255.600344
19.480644,1000,255.60038
35.17381,1000,255.600396
35.298813,1000,255.600409
26.697357,1000,255.600421
35.298813,1000,255.600432
2.9565163,1000,255.600443
26.35001,1000,255.600454
-43.37911,1000,255.600465
5.0343904,1000,255.600475
6.8693767,1000,255.600485
16.124086,1000,255.600495
13.875308,1000,255.600505
35.298813,1000,255.600515
35.298813,1000,255.600525
12.3851795,1000,255.600535
33.3206,1000,304.939858
16.451475,1000,304.939894
32.895603,1000,304.939911
33.3206,1000,304.939925
25.313099,1000,304.939939
33.3206,1000,304.939952
3.9707968,1000,304.939964
23.510794,1000,304.939977
-47.26437,1000,304.939989
4.322723,1000,304.940001
5.95992,1000,304.940013
13.557102,1000,304.940026
14.26915,1000,304.940038
33.3206,1000,304.94005
33.3206,1000,304.940062
12.430865,1000,304.940074
34.017746,1000,356.397979
20.193003,1000,356.398014
33.04276,1000,356.39803
34.017746,1000,356.398043
24.315018,1000,356.398054
34.017746,1000,356.398066
6.251169,1000,356.398077
23.917746,1000,356.398088
-44.277046,1000,356.398098
7.7235537,1000,356.398109
5.723522,1000,356.398119
15.740261,1000,356.398129
13.087089,1000,356.398139
34.017746,1000,356.398149
34.017746,1000,356.398159
15.611701,1000,356.398169
33.094215,1000,405.39206
16.977108,1000,405.392096
32.969215,1000,405.392112
33.094215,1000,405.392124
25.075237,1000,405.392136
33.094215,1000,405.392147
4.8037505,1000,405.392159
27.019215,1000,405.392169
-36.675945,1000,405.39218
3.6026504,1000,405.39219
5.530444,1000,405.392201
16.717468,1000,405.392211
6.0635605,1000,405.392221
33.094215,1000,405.392231
33.094215,1000,405.392242
12.635459,1000,405.392252
33.825245,1000,456.786602
19.203194,1000,456.786637
33.50025,1000,456.786651
33.825245,1000,456.786663
26.250248,1000,456.786673
33.825245,1000,456.786683
4.2004232,1000,456.786692
24.62561,1000,456.786702
-32.599476,1000,456.786712
10.604337,1000,456.786721
11.731783,1000,456.786731
16.251806,1000,456.786741
15.159229,1000,456.786751
33.825245,1000,456.786761
33.825245,1000,456.78677
17.004484,1000,456.78678
30.177126,1000,506.016882
15.803173,1000,506.016917
30.052124,1000,506.016931
30.177126,1000,506.016942
21.127138,1000,506.016952
30.177126,1000,506.016962
7.391892,1000,506.016972
19.777258,1000,506.016981
-38.096752,1000,506.017026
4.0362062,1000,506.017041
9.165282,1000,506.017052
13.267854,1000,506.017062
11.855102,1000,506.017071
30.177126,1000,506.017081
30.177126,1000,506.017091
14.948835,1000,506.0171
33.50041,1000,557.341422
17.226227,1000,557.341458
33.50041,1000,557.341474
33.50041,1000,557.341486
25.425407,1000,557.341498
33.50041,1000,557.341509
13.455218,1000,557.34152
23.725605,1000,557.34153
-19.790684,1000,557.341541
9.565083,1000,557.341551
13.003868,1000,557.341562
13.712757,1000,557.341572
16.256422,1000,557.341582
33.50041,1000,557.341592
33.50041,1000,557.341601
15.898984,1000,557.341611
30.416317,1000,606.177169
15.0920725,1000,606.177202
30.416317,1000,606.177217
30.416317,1000,606.17723
24.34133,1000,606.177242
30.416317,1000,606.177253
10.641571,1000,606.177264
20.842028,1000,606.177274
-20.539213,1000,606.177285
11.819152,1000,606.177295
9.984932,1000,606.177305
12.616327,1000,606.177315
15.256268,1000,606.177326
