#{"t_start": 1754848441.7924564, "env_id": "None"}
r,l,t
34.62567,1000,57.810562
19.151396,1000,57.810631
34.500683,1000,57.810658
34.62567,1000,57.810678
25.175663,1000,57.810697
34.62567,1000,57.810714
-2.7737343,1000,57.810731
24.254313,1000,57.810748
-63.23946,1000,57.810765
-0.0020317286,1000,57.810781
1.1760375,1000,57.810799
5.4561152,1000,57.810816
15.072459,1000,57.810833
34.62567,1000,57.81085
34.62567,1000,57.810867
14.174242,1000,57.810884
35.063522,1000,110.302547
21.615513,1000,110.302603
34.938526,1000,110.302628
35.063522,1000,110.302649
27.713524,1000,110.302669
35.063522,1000,110.302689
4.3980155,1000,110.302709
28.974184,1000,110.302728
-62.944378,1000,110.302747
3.9071562,1000,110.302767
7.9214745,1000,110.304397
14.745733,1000,110.304428
13.213559,1000,110.304441
35.063522,1000,110.304453
35.063522,1000,110.304464
13.915204,1000,110.304475
33.65902,1000,166.252345
18.922615,1000,166.252387
33.40902,1000,166.252401
33.65902,1000,166.252412
25.534018,1000,166.252422
33.65902,1000,166.252432
6.056985,1000,166.252442
21.009352,1000,166.252452
-71.3307,1000,166.252461
5.05687,1000,166.252471
1.7840878,1000,166.252481
12.744896,1000,166.25249
12.437631,1000,166.2525
33.65902,1000,166.25251
33.65902,1000,166.252519
9.575428,1000,166.252529
32.93291,1000,216.167242
17.06264,1000,216.167283
32.807907,1000,216.167298
32.93291,1000,216.16731
26.185898,1000,216.167322
32.93291,1000,216.167333
4.125865,1000,216.167343
23.032907,1000,216.167354
-86.3178,1000,216.167364
9.27963,1000,216.167375
2.1598065,1000,216.167386
15.858174,1000,216.167396
11.763928,1000,216.167406
32.93291,1000,216.167415
32.93291,1000,216.167425
10.989123,1000,216.167435
36.09431,1000,268.799896
20.55089,1000,268.799936
35.594303,1000,268.799951
36.09431,1000,268.799964
28.07178,1000,268.799975
36.09431,1000,268.799987
9.9459915,1000,268.799997
25.645702,1000,268.800008
-44.311394,1000,268.800019
11.956577,1000,268.80003
13.294931,1000,268.80004
15.716591,1000,268.80005
16.694296,1000,268.80006
36.09431,1000,268.80007
36.09431,1000,268.80008
18.193233,1000,268.80009
32.78126,1000,318.32181
18.331821,1000,318.321851
32.431267,1000,318.321867
32.78126,1000,318.321879
24.281843,1000,318.32189
