#{"t_start": 1755119205.9110503, "env_id": "None"}
r,l,t
-145.59137,1000,61.712278
-145.59137,1000,61.71234
-145.59137,1000,61.712368
-145.59137,1000,61.712387
-145.59137,1000,61.712403
-145.59137,1000,61.71242
-145.59137,1000,61.712436
-145.59137,1000,61.712452
-145.59137,1000,61.712467
-145.59137,1000,61.712483
-145.59137,1000,61.712499
-145.59137,1000,61.712514
-145.59137,1000,61.71253
-145.59137,1000,61.712545
-145.59137,1000,61.712561
-145.59137,1000,61.712577
-144.5184,1000,119.578015
-144.5184,1000,119.578074
-144.5184,1000,119.578098
-144.5184,1000,119.578116
-144.5184,1000,119.578132
-144.5184,1000,119.578149
-144.5184,1000,119.578165
-144.5184,1000,119.578181
-144.5184,1000,119.578197
-144.5184,1000,119.579983
-144.5184,1000,119.580019
-144.5184,1000,119.580032
-144.5184,1000,119.580043
-144.5184,1000,119.580054
-144.5184,1000,119.580065
-144.5184,1000,119.580075
-146.03424,1000,180.204
-146.03424,1000,180.204039
-146.03424,1000,180.204054
-146.03424,1000,180.204067
-146.03424,1000,180.204078
-146.03424,1000,180.20409
-146.03424,1000,180.204102
-146.03424,1000,180.204113
-146.03424,1000,180.204124
-146.03424,1000,180.204136
-146.03424,1000,180.204147
-146.03424,1000,180.204159
-146.03424,1000,180.20417
-146.03424,1000,180.204182
-146.03424,1000,180.204193
-146.03424,1000,180.204205
-145.66193,1000,237.169653
-145.66193,1000,237.169693
-145.66193,1000,237.169708
-145.66193,1000,237.169721
-145.66193,1000,237.169733
-145.66193,1000,237.169744
-145.66193,1000,237.169755
-145.66193,1000,237.169765
-145.66193,1000,237.169775
-145.66193,1000,237.169784
-145.66193,1000,237.169794
-145.66193,1000,237.169804
-145.66193,1000,237.169813
-145.66193,1000,237.169823
-145.66193,1000,237.169833
-145.66193,1000,237.169842
-146.17047,1000,297.753772
-146.17047,1000,297.753808
-146.17047,1000,297.753823
-146.17047,1000,297.753836
-146.17047,1000,297.753847
-146.17047,1000,297.753858
-146.17047,1000,297.753868
-146.17047,1000,297.753879
-146.17047,1000,297.753889
-146.17047,1000,297.753899
-146.17047,1000,297.753908
-146.17047,1000,297.753918
-146.17047,1000,297.753928
-146.17047,1000,297.753938
-146.17047,1000,297.753948
-146.17047,1000,297.753958
-144.75664,1000,355.543802
-144.75664,1000,355.543838
-144.75664,1000,355.543855
-144.75664,1000,355.543869
-144.75664,1000,355.543882
-144.75664,1000,355.543894
-144.75664,1000,355.543906
-144.75664,1000,355.543918
-144.75664,1000,355.54393
-144.75664,1000,355.543941
-144.75664,1000,355.543953
-144.75664,1000,355.543965
-144.75664,1000,355.543977
-144.75664,1000,355.543989
-144.75664,1000,355.544001
-144.75664,1000,355.544013
-144.8148,1000,415.874305
-144.8148,1000,415.874347
-144.8148,1000,415.874363
-144.8148,1000,415.874375
-144.8148,1000,415.874386
-144.8148,1000,415.874397
-144.8148,1000,415.874408
-144.8148,1000,415.874418
-144.8148,1000,415.874428
-144.8148,1000,415.874437
-144.8148,1000,415.874447
-144.8148,1000,415.874457
-144.8148,1000,415.874466
-144.8148,1000,415.874476
-144.8148,1000,415.874485
-144.8148,1000,415.874495
-146.3923,1000,473.171227
-146.3923,1000,473.171268
-146.3923,1000,473.171283
-146.3923,1000,473.171296
-146.3923,1000,473.171307
-146.3923,1000,473.171317
-146.3923,1000,473.171328
-146.3923,1000,473.171338
-146.3923,1000,473.171348
-146.3923,1000,473.171358
-146.3923,1000,473.171368
-146.3923,1000,473.171378
-146.3923,1000,473.171388
-146.3923,1000,473.171398
-146.3923,1000,473.171408
-146.3923,1000,473.171417
-145.72096,1000,533.165085
-145.72096,1000,533.165125
-145.72096,1000,533.165141
-145.72096,1000,533.165153
-145.72096,1000,533.165165
-145.72096,1000,533.165177
-145.72096,1000,533.165188
-145.72096,1000,533.1652
-145.72096,1000,533.165212
-145.72096,1000,533.165223
-145.72096,1000,533.165234
-145.72096,1000,533.165246
-145.72096,1000,533.165257
-145.72096,1000,533.165269
-145.72096,1000,533.165281
-145.72096,1000,533.165292
-144.88379,1000,590.643151
-144.88379,1000,590.643194
-144.88379,1000,590.643208
-144.88379,1000,590.64326
-144.88379,1000,590.643276
-144.88379,1000,590.643287
-144.88379,1000,590.643296
-144.88379,1000,590.643305
-144.88379,1000,590.643315
-144.88379,1000,590.643324
-144.88379,1000,590.643333
-144.88379,1000,590.643342
-144.88379,1000,590.643352
-144.88379,1000,590.643361
-144.88379,1000,590.64337
-144.88379,1000,590.64338
-143.86581,1000,652.969907
-143.86581,1000,652.969952
-143.86581,1000,652.969968
-143.86581,1000,652.96998
-143.86581,1000,652.969993
-143.86581,1000,652.970004
-143.86581,1000,652.970017
-143.86581,1000,652.970028
-143.86581,1000,652.97004
-143.86581,1000,652.970052
-143.86581,1000,652.970063
-143.86581,1000,652.970075
-143.86581,1000,652.970087
-143.86581,1000,652.970098
-143.86581,1000,652.97011
-143.86581,1000,652.970122
-145.16344,1000,709.932306
-145.16344,1000,709.932346
-145.16344,1000,709.932361
-145.16344,1000,709.932371
-145.16344,1000,709.932381
-145.16344,1000,709.93239
-145.16344,1000,709.932399
-145.16344,1000,709.932409
-145.16344,1000,709.932417
-145.16344,1000,709.932427
-145.16344,1000,709.932436
-145.16344,1000,709.932445
-145.16344,1000,709.932454
-145.16344,1000,709.932462
-145.16344,1000,709.932472
-145.16344,1000,709.932481
-143.97151,1000,771.566787
-143.97151,1000,771.566825
-143.97151,1000,771.566839
-143.97151,1000,771.566849
-143.97151,1000,771.566859
-143.97151,1000,771.566868
-143.97151,1000,771.566877
-143.97151,1000,771.566886
-143.97151,1000,771.566895
-143.97151,1000,771.566905
-143.97151,1000,771.566914
-143.97151,1000,771.566923
-143.97151,1000,771.566932
-143.97151,1000,771.566941
-143.97151,1000,771.566951
-143.97151,1000,771.56696
-144.26149,1000,829.32993
-144.26149,1000,829.329971
-144.26149,1000,829.329985
-144.26149,1000,829.329996
-144.26149,1000,829.330006
-144.26149,1000,829.330016
-144.26149,1000,829.330025
-144.26149,1000,829.330035
-144.26149,1000,829.330044
-144.26149,1000,829.330054
-144.26149,1000,829.330063
-144.26149,1000,829.330072
-144.26149,1000,829.330081
-144.26149,1000,829.330091
-144.26149,1000,829.3301
-144.26149,1000,829.33011
-144.19283,1000,891.021002
-144.19283,1000,891.021044
-144.19283,1000,891.02106
-144.19283,1000,891.021072
-144.19283,1000,891.021083
-144.19283,1000,891.021094
-144.19283,1000,891.021104
-144.19283,1000,891.021115
-144.19283,1000,891.021125
-144.19283,1000,891.021135
-144.19283,1000,891.021144
-144.19283,1000,891.021153
-144.19283,1000,891.021163
-144.19283,1000,891.021173
-144.19283,1000,891.021182
-144.19283,1000,891.021192
-143.38864,1000,948.837309
-143.38864,1000,948.83735
-143.38864,1000,948.837364
-143.38864,1000,948.837375
-143.38864,1000,948.837385
-143.38864,1000,948.837394
-143.38864,1000,948.837403
-143.38864,1000,948.837412
-143.38864,1000,948.837421
-143.38864,1000,948.83743
-143.38864,1000,948.83744
-143.38864,1000,948.837449
-143.38864,1000,948.837458
-143.38864,1000,948.837467
-143.38864,1000,948.837476
-143.38864,1000,948.837485
-144.20822,1000,1009.538604
-144.20822,1000,1009.538644
-144.20822,1000,1009.53866
-144.20822,1000,1009.538673
-144.20822,1000,1009.538685
-144.20822,1000,1009.538697
-144.20822,1000,1009.538709
-144.20822,1000,1009.538721
-144.20822,1000,1009.538732
-144.20822,1000,1009.538744
-144.20822,1000,1009.538755
-144.20822,1000,1009.538767
-144.20822,1000,1009.538779
-144.20822,1000,1009.53879
-144.20822,1000,1009.538802
-144.20822,1000,1009.538814
-144.51718,1000,1067.237768
-144.51718,1000,1067.237808
-144.51718,1000,1067.237823
-144.51718,1000,1067.237833
-144.51718,1000,1067.237843
-144.51718,1000,1067.237853
-144.51718,1000,1067.237862
-144.51718,1000,1067.237872
-144.51718,1000,1067.237881
-144.51718,1000,1067.23789
-144.51718,1000,1067.2379
-144.51718,1000,1067.237909
-144.51718,1000,1067.237919
-144.51718,1000,1067.237928
-144.51718,1000,1067.237937
-144.51718,1000,1067.237947
-144.64268,1000,1128.497152
-144.64268,1000,1128.497213
-144.64268,1000,1128.497235
-144.64268,1000,1128.497252
-144.64268,1000,1128.49727
-144.64268,1000,1128.49735
-144.64268,1000,1128.497374
-144.64268,1000,1128.497391
-144.64268,1000,1128.497408
-144.64268,1000,1128.497425
-144.64268,1000,1128.497442
-144.64268,1000,1128.497459
-144.64268,1000,1128.497475
-144.64268,1000,1128.497492
-144.64268,1000,1128.497509
-144.64268,1000,1128.497526
-140.73819,1000,1186.13443
-140.73819,1000,1186.134468
-140.73819,1000,1186.134483
-140.73819,1000,1186.134497
-140.73819,1000,1186.134509
-140.73819,1000,1186.134521
-140.73819,1000,1186.134532
-140.73819,1000,1186.134544
-140.73819,1000,1186.134556
-140.73819,1000,1186.134567
-140.73819,1000,1186.134579
-140.73819,1000,1186.134591
-140.73819,1000,1186.134602
-140.73819,1000,1186.134614
-140.73819,1000,1186.134626
-140.73819,1000,1186.134638
-140.8389,1000,1246.641138
-140.8389,1000,1246.64118
-140.8389,1000,1246.641196
-140.8389,1000,1246.641208
-140.8389,1000,1246.641221
-140.8389,1000,1246.641233
-140.8389,1000,1246.641245
-140.8389,1000,1246.641256
-140.8389,1000,1246.641268
-140.8389,1000,1246.641279
-140.8389,1000,1246.641291
-140.8389,1000,1246.641302
-140.8389,1000,1246.641314
-140.8389,1000,1246.641325
-140.8389,1000,1246.641337
-140.8389,1000,1246.641349
-143.58122,1000,1304.440165
-143.58122,1000,1304.440202
-143.58122,1000,1304.440216
-143.58122,1000,1304.440227
-143.58122,1000,1304.440237
-143.58122,1000,1304.440246
-143.58122,1000,1304.440255
-143.58122,1000,1304.440265
-143.58122,1000,1304.440274
-143.58122,1000,1304.440283
-143.58122,1000,1304.440292
-143.58122,1000,1304.440302
-143.58122,1000,1304.440311
-143.58122,1000,1304.44032
-143.58122,1000,1304.44033
-143.58122,1000,1304.440339
-143.74277,1000,1365.226597
-143.74277,1000,1365.226635
-143.74277,1000,1365.22665
-143.74277,1000,1365.226663
-143.74277,1000,1365.226675
-143.74277,1000,1365.226687
-143.74277,1000,1365.226699
-143.74277,1000,1365.22671
-143.74277,1000,1365.226722
-143.74277,1000,1365.226733
-143.74277,1000,1365.226745
-143.74277,1000,1365.226757
-143.74277,1000,1365.226768
-143.74277,1000,1365.22678
-143.74277,1000,1365.226792
-143.74277,1000,1365.226803
-142.16223,1000,1422.494411
-142.16223,1000,1422.494449
-142.16223,1000,1422.494465
-142.16223,1000,1422.494477
-142.16223,1000,1422.494488
-142.16223,1000,1422.494499
-142.16223,1000,1422.494509
-142.16223,1000,1422.494519
-142.16223,1000,1422.494529
-142.16223,1000,1422.494539
-142.16223,1000,1422.494549
-142.16223,1000,1422.494559
-142.16223,1000,1422.494569
-142.16223,1000,1422.494579
-142.16223,1000,1422.494588
-142.16223,1000,1422.494598
-142.20119,1000,1482.929841
-142.20119,1000,1482.929881
-142.20119,1000,1482.929896
-142.20119,1000,1482.929909
-142.20119,1000,1482.929921
-142.20119,1000,1482.929932
-142.20119,1000,1482.929944
-142.20119,1000,1482.929955
-142.20119,1000,1482.929967
-142.20119,1000,1482.929979
-142.20119,1000,1482.92999
-142.20119,1000,1482.930002
-142.20119,1000,1482.930014
-142.20119,1000,1482.930027
-142.20119,1000,1482.930038
-142.20119,1000,1482.930049
-143.59357,1000,1540.170019
-143.59357,1000,1540.17006
-143.59357,1000,1540.170075
-143.59357,1000,1540.170088
-143.59357,1000,1540.170099
-143.59357,1000,1540.170111
-143.59357,1000,1540.170122
-143.59357,1000,1540.170134
-143.59357,1000,1540.170146
-143.59357,1000,1540.170157
-143.59357,1000,1540.170169
-143.59357,1000,1540.170181
-143.59357,1000,1540.170192
-143.59357,1000,1540.170204
-143.59357,1000,1540.170215
-143.59357,1000,1540.170227
-142.51582,1000,1600.99238
-142.51582,1000,1600.992423
-142.51582,1000,1600.992437
-142.51582,1000,1600.992448
-142.51582,1000,1600.992457
-142.51582,1000,1600.992466
-142.51582,1000,1600.992476
-142.51582,1000,1600.992485
-142.51582,1000,1600.992494
-142.51582,1000,1600.992503
-142.51582,1000,1600.992512
-142.51582,1000,1600.992521
-142.51582,1000,1600.99253
-142.51582,1000,1600.99254
-142.51582,1000,1600.992549
-142.51582,1000,1600.992558
-141.22772,1000,1658.522428
-141.22772,1000,1658.522468
-141.22772,1000,1658.522482
-141.22772,1000,1658.522496
-141.22772,1000,1658.522508
-141.22772,1000,1658.522518
-141.22772,1000,1658.522528
-141.22772,1000,1658.522537
-141.22772,1000,1658.522546
-141.22772,1000,1658.522555
-141.22772,1000,1658.522564
-141.22772,1000,1658.522573
-141.22772,1000,1658.522583
-141.22772,1000,1658.522592
-141.22772,1000,1658.522601
-141.22772,1000,1658.52261
-141.0277,1000,1718.935431
-141.0277,1000,1718.93547
-141.0277,1000,1718.935484
-141.0277,1000,1718.935495
-141.0277,1000,1718.935504
-141.0277,1000,1718.935513
-141.0277,1000,1718.935523
-141.0277,1000,1718.935532
-141.0277,1000,1718.935541
-141.0277,1000,1718.935549
-141.0277,1000,1718.935559
-141.0277,1000,1718.935568
-141.0277,1000,1718.935577
-141.0277,1000,1718.935586
-141.0277,1000,1718.935595
-141.0277,1000,1718.935604
-144.6603,1000,1776.652025
-144.6603,1000,1776.652069
-144.6603,1000,1776.652084
-144.6603,1000,1776.652094
-144.6603,1000,1776.652104
-144.6603,1000,1776.652114
-144.6603,1000,1776.652123
-144.6603,1000,1776.652132
-144.6603,1000,1776.652141
-144.6603,1000,1776.65215
-144.6603,1000,1776.652159
-144.6603,1000,1776.652168
-144.6603,1000,1776.652178
-144.6603,1000,1776.652187
-144.6603,1000,1776.652196
-144.6603,1000,1776.652205
-141.80956,1000,1837.319372
-141.80956,1000,1837.319408
-141.80956,1000,1837.319424
-141.80956,1000,1837.319436
-141.80956,1000,1837.319448
-141.80956,1000,1837.319459
-141.80956,1000,1837.31947
-141.80956,1000,1837.319482
-141.80956,1000,1837.319493
-141.80956,1000,1837.319504
-141.80956,1000,1837.319516
-141.80956,1000,1837.319528
-141.80956,1000,1837.319539
-141.80956,1000,1837.31955
-141.80956,1000,1837.319562
-141.80956,1000,1837.319573
-140.81268,1000,1894.71766
-140.81268,1000,1894.71771
-140.81268,1000,1894.717738
-140.81268,1000,1894.717761
-140.81268,1000,1894.717773
-140.81268,1000,1894.717783
-140.81268,1000,1894.717793
-140.81268,1000,1894.717803
-140.81268,1000,1894.717812
-140.81268,1000,1894.717822
-140.81268,1000,1894.717831
-140.81268,1000,1894.717841
-140.81268,1000,1894.71785
-140.81268,1000,1894.71786
-140.81268,1000,1894.71787
-140.81268,1000,1894.717879
-143.41711,1000,1955.188571
-143.41711,1000,1955.188611
-143.41711,1000,1955.188627
-143.41711,1000,1955.18864
-143.41711,1000,1955.188652
-143.41711,1000,1955.188664
-143.41711,1000,1955.188676
-143.41711,1000,1955.188687
-143.41711,1000,1955.188699
-143.41711,1000,1955.18871
-143.41711,1000,1955.188722
-143.41711,1000,1955.188733
-143.41711,1000,1955.188745
-143.41711,1000,1955.188756
-143.41711,1000,1955.188768
-143.41711,1000,1955.188779
-142.96521,1000,2011.978998
-142.96521,1000,2011.979039
-142.96521,1000,2011.979053
-142.96521,1000,2011.979064
-142.96521,1000,2011.979074
-142.96521,1000,2011.979083
-142.96521,1000,2011.979092
-142.96521,1000,2011.979101
-142.96521,1000,2011.979111
-142.96521,1000,2011.97912
-142.96521,1000,2011.97913
-142.96521,1000,2011.979139
-142.96521,1000,2011.979149
-142.96521,1000,2011.979158
