#{"t_start": 1755078736.9779565, "env_id": "None"}
r,l,t
274.9911,1000,56.133842
274.9911,1000,56.133909
274.9911,1000,56.133935
274.9911,1000,56.133955
274.9911,1000,56.133974
274.9911,1000,56.133993
274.9911,1000,56.134011
274.9911,1000,56.134029
274.9911,1000,56.134048
274.9911,1000,56.134066
274.9911,1000,56.134084
274.9911,1000,56.134102
274.9911,1000,56.13412
274.9911,1000,56.134139
274.9911,1000,56.134157
274.9911,1000,56.134175
248.55771,1000,108.510737
248.55771,1000,108.510796
248.55771,1000,108.51082
248.55771,1000,108.510839
248.55771,1000,108.510856
248.55771,1000,108.510873
248.55771,1000,108.510889
248.55771,1000,108.510905
248.55771,1000,108.510921
248.55771,1000,108.510937
248.55771,1000,108.510953
248.55771,1000,108.512659
248.55771,1000,108.512679
248.55771,1000,108.512691
248.55771,1000,108.512702
248.55771,1000,108.512712
239.481,1000,163.244861
239.481,1000,163.2449
239.481,1000,163.244915
239.481,1000,163.244927
239.481,1000,163.244938
239.481,1000,163.244949
239.481,1000,163.244959
239.481,1000,163.24497
239.481,1000,163.24498
239.481,1000,163.24499
239.481,1000,163.245
239.481,1000,163.245009
239.481,1000,163.245019
239.481,1000,163.245029
239.481,1000,163.245039
239.481,1000,163.245048
243.46788,1000,215.612929
243.46788,1000,215.612971
243.46788,1000,215.612987
243.46788,1000,215.612999
243.46788,1000,215.613011
243.46788,1000,215.613023
243.46788,1000,215.613034
243.46788,1000,215.613046
243.46788,1000,215.613057
243.46788,1000,215.613068
243.46788,1000,215.61308
243.46788,1000,215.613092
243.46788,1000,215.613103
243.46788,1000,215.613114
243.46788,1000,215.613126
243.46788,1000,215.613137
216.13213,1000,270.890964
216.13213,1000,270.891008
216.13213,1000,270.891022
216.13213,1000,270.891033
216.13213,1000,270.891042
216.13213,1000,270.891052
216.13213,1000,270.891061
216.13213,1000,270.89107
216.13213,1000,270.891079
216.13213,1000,270.891088
216.13213,1000,270.891097
216.13213,1000,270.891106
216.13213,1000,270.891115
216.13213,1000,270.891124
216.13213,1000,270.891134
216.13213,1000,270.891142
247.1807,1000,323.541103
247.1807,1000,323.541139
247.1807,1000,323.541154
247.1807,1000,323.541166
247.1807,1000,323.541177
247.1807,1000,323.541188
247.1807,1000,323.541198
247.1807,1000,323.541208
247.1807,1000,323.541218
247.1807,1000,323.541228
247.1807,1000,323.541238
247.1807,1000,323.541247
247.1807,1000,323.541256
247.1807,1000,323.541266
247.1807,1000,323.541276
247.1807,1000,323.541285
271.312,1000,378.340051
271.312,1000,378.340091
271.312,1000,378.340106
271.312,1000,378.340118
271.312,1000,378.340129
271.312,1000,378.34014
271.312,1000,378.34015
271.312,1000,378.34016
271.312,1000,378.34017
271.312,1000,378.34018
271.312,1000,378.340189
271.312,1000,378.340199
271.312,1000,378.340208
271.312,1000,378.340217
271.312,1000,378.340227
271.312,1000,378.340236
276.53302,1000,433.562411
276.53302,1000,433.562446
276.53302,1000,433.562461
276.53302,1000,433.562473
276.53302,1000,433.562484
276.53302,1000,433.562495
276.53302,1000,433.562505
276.53302,1000,433.562516
276.53302,1000,433.562526
276.53302,1000,433.562536
276.53302,1000,433.562546
276.53302,1000,433.562555
276.53302,1000,433.562564
276.53302,1000,433.562574
276.53302,1000,433.562583
276.53302,1000,433.562593
316.48373,1000,493.685829
316.48373,1000,493.685868
316.48373,1000,493.685882
316.48373,1000,493.685892
316.48373,1000,493.685901
316.48373,1000,493.68591
316.48373,1000,493.685919
316.48373,1000,493.685928
316.48373,1000,493.685936
316.48373,1000,493.685946
316.48373,1000,493.685954
316.48373,1000,493.685964
316.48373,1000,493.685972
316.48373,1000,493.685981
316.48373,1000,493.68599
316.48373,1000,493.685999
320.90732,1000,552.513834
320.90732,1000,552.513878
320.90732,1000,552.513892
320.90732,1000,552.513903
320.90732,1000,552.513912
320.90732,1000,552.513921
320.90732,1000,552.513931
320.90732,1000,552.51394
320.90732,1000,552.51395
320.90732,1000,552.513959
320.90732,1000,552.513968
320.90732,1000,552.514018
320.90732,1000,552.514034
320.90732,1000,552.514044
320.90732,1000,552.514053
320.90732,1000,552.514062
367.37805,1000,616.744424
367.37805,1000,616.744468
367.37805,1000,616.744483
367.37805,1000,616.744493
367.37805,1000,616.744503
367.37805,1000,616.744512
367.37805,1000,616.744522
367.37805,1000,616.74453
367.37805,1000,616.74454
367.37805,1000,616.744549
367.37805,1000,616.744559
367.37805,1000,616.744568
367.37805,1000,616.744577
367.37805,1000,616.744586
367.37805,1000,616.744595
367.37805,1000,616.744605
366.41013,1000,674.255966
366.41013,1000,674.256001
366.41013,1000,674.256014
366.41013,1000,674.256025
366.41013,1000,674.256034
366.41013,1000,674.256044
366.41013,1000,674.256053
366.41013,1000,674.256062
366.41013,1000,674.256071
366.41013,1000,674.25608
366.41013,1000,674.256089
366.41013,1000,674.256099
366.41013,1000,674.256108
366.41013,1000,674.256117
366.41013,1000,674.256126
366.41013,1000,674.256135
387.38245,1000,732.007074
387.38245,1000,732.007115
387.38245,1000,732.007129
387.38245,1000,732.007139
387.38245,1000,732.007149
387.38245,1000,732.007158
387.38245,1000,732.007167
387.38245,1000,732.007176
387.38245,1000,732.007186
387.38245,1000,732.007195
387.38245,1000,732.007204
387.38245,1000,732.007214
387.38245,1000,732.007223
387.38245,1000,732.007232
387.38245,1000,732.007241
387.38245,1000,732.00725
358.7614,1000,788.049065
358.7614,1000,788.049104
358.7614,1000,788.049119
358.7614,1000,788.049132
358.7614,1000,788.049142
358.7614,1000,788.049153
358.7614,1000,788.049164
358.7614,1000,788.049174
358.7614,1000,788.049184
358.7614,1000,788.049193
358.7614,1000,788.049202
358.7614,1000,788.049212
358.7614,1000,788.049222
358.7614,1000,788.049232
358.7614,1000,788.049241
358.7614,1000,788.04925
396.18515,1000,847.52753
396.18515,1000,847.527569
396.18515,1000,847.527584
396.18515,1000,847.527594
396.18515,1000,847.527604
396.18515,1000,847.527613
396.18515,1000,847.527622
396.18515,1000,847.527631
396.18515,1000,847.52764
396.18515,1000,847.527649
396.18515,1000,847.527658
396.18515,1000,847.527668
396.18515,1000,847.527677
396.18515,1000,847.527686
396.18515,1000,847.527695
396.18515,1000,847.527705
380.28323,1000,904.704623
380.28323,1000,904.704668
380.28323,1000,904.704683
380.28323,1000,904.704696
380.28323,1000,904.704707
380.28323,1000,904.704719
380.28323,1000,904.70473
380.28323,1000,904.704742
380.28323,1000,904.704753
380.28323,1000,904.704765
380.28323,1000,904.704776
380.28323,1000,904.704787
380.28323,1000,904.704798
380.28323,1000,904.70481
380.28323,1000,904.704821
380.28323,1000,904.704833
399.84418,1000,963.947114
399.84418,1000,963.947148
399.84418,1000,963.947162
399.84418,1000,963.947173
399.84418,1000,963.947183
399.84418,1000,963.947192
399.84418,1000,963.947202
399.84418,1000,963.947211
399.84418,1000,963.947221
399.84418,1000,963.94723
399.84418,1000,963.94724
399.84418,1000,963.947249
399.84418,1000,963.947259
399.84418,1000,963.947269
399.84418,1000,963.947278
399.84418,1000,963.947287
406.7525,1000,1019.36205
406.7525,1000,1019.362091
406.7525,1000,1019.362106
406.7525,1000,1019.362117
406.7525,1000,1019.362126
406.7525,1000,1019.362136
406.7525,1000,1019.362145
406.7525,1000,1019.362154
406.7525,1000,1019.362164
406.7525,1000,1019.362173
406.7525,1000,1019.362182
406.7525,1000,1019.362191
406.7525,1000,1019.362201
406.7525,1000,1019.36221
406.7525,1000,1019.362219
406.7525,1000,1019.362229
404.79245,1000,1083.374244
404.79245,1000,1083.37429
404.79245,1000,1083.374306
404.79245,1000,1083.374318
404.79245,1000,1083.37433
404.79245,1000,1083.374342
404.79245,1000,1083.374354
404.79245,1000,1083.374365
404.79245,1000,1083.374377
404.79245,1000,1083.374388
404.79245,1000,1083.374402
404.79245,1000,1083.374415
404.79245,1000,1083.374426
404.79245,1000,1083.374438
404.79245,1000,1083.374449
404.79245,1000,1083.374461
438.24246,1000,1142.956949
438.24246,1000,1142.957006
438.24246,1000,1142.957026
438.24246,1000,1142.957154
438.24246,1000,1142.957195
438.24246,1000,1142.957219
438.24246,1000,1142.957253
438.24246,1000,1142.957282
438.24246,1000,1142.957307
438.24246,1000,1142.957326
438.24246,1000,1142.957337
438.24246,1000,1142.957347
438.24246,1000,1142.957357
438.24246,1000,1142.957367
438.24246,1000,1142.957376
438.24246,1000,1142.957386
428.68472,1000,1205.495725
428.68472,1000,1205.49577
428.68472,1000,1205.495784
428.68472,1000,1205.495795
428.68472,1000,1205.495805
428.68472,1000,1205.495815
428.68472,1000,1205.495824
428.68472,1000,1205.495833
