#{"t_start": 1755525951.3133087, "env_id": "None"}
r,l,t
106.01731,820,66.041857
-198.61142,820,66.041914
71.866554,820,66.041939
109.19971,820,66.041958
51.08426,820,66.041975
109.19971,820,66.041992
-55.896355,820,66.042009
40.873425,820,66.042025
-443.13345,820,66.042041
-300.8581,820,66.042058
-252.08296,820,66.042074
-135.16348,820,66.04209
-38.083145,820,66.042107
109.19971,820,66.042123
109.19971,820,66.042139
-64.72222,820,66.042155
108.152794,820,129.665725
-210.68573,820,129.665785
68.295395,820,129.66581
109.19971,820,129.665831
40.346592,820,129.66585
109.19971,820,129.665869
-165.0616,820,129.665888
47.18897,820,129.665907
-537.6076,820,129.665926
-182.21817,820,129.665944
-143.50182,820,129.665963
-117.34925,820,129.667577
-88.912415,820,129.667597
108.61582,820,129.667609
109.19971,820,129.667621
-24.11868,820,129.667633
108.15539,820,197.86596
-201.9414,820,197.865998
68.66523,820,197.866014
109.19971,820,197.866026
37.237064,820,197.866037
109.19971,820,197.866048
-74.29093,820,197.866058
48.951553,820,197.866068
-380.91098,820,197.866078
-91.08315,820,197.866088
-172.92273,820,197.866097
-130.69466,820,197.866106
-21.37597,820,197.866116
108.71295,820,197.866124
109.19971,820,197.866134
1.8972641,820,197.866143
108.153206,820,261.539091
-116.757744,820,261.539129
60.462444,820,261.539144
109.19971,820,261.539156
14.664545,820,261.539167
109.19971,820,261.539178
-28.01774,820,261.539188
28.927195,820,261.539198
-364.65323,820,261.539208
-67.993355,820,261.539218
-133.70259,820,261.539227
-55.699802,820,261.539236
-45.652374,820,261.539245
109.042336,820,261.539254
109.19971,820,261.539263
4.5150266,820,261.539272
106.73122,820,328.881301
-62.28313,820,328.881339
58.81624,820,328.881356
109.19971,820,328.881369
29.990831,820,328.881381
109.19971,820,328.881393
-42.501957,820,328.881405
14.143192,820,328.881417
-459.08444,820,328.881428
-95.76103,820,328.881439
-68.65029,820,328.881451
-42.53452,820,328.881463
8.937159,820,328.881474
109.11875,820,328.881485
109.19971,820,328.881496
-7.8270254,820,328.881508
108.15406,820,390.766788
-35.892525,820,390.766827
75.22074,820,390.766842
109.19971,820,390.766854
57.57984,820,390.766865
109.19971,820,390.766875
29.392376,820,390.766885
51.498535,820,390.766895
-136.7908,820,390.766904
-31.694384,820,390.766914
-55.917778,820,390.766923
-22.318602,820,390.766933
-3.7264965,820,390.766942
109.19467,820,390.766951
109.19971,820,390.76696
-11.3433,820,390.766969
107.95348,820,455.283336
-14.977053,820,455.283377
59.453056,820,455.283391
109.19971,820,455.283401
56.13121,820,455.28341
109.19971,820,455.283419
-27.585943,820,455.283428
41.931087,820,455.283437
-198.07932,820,455.283446
-58.061565,820,455.283455
-28.254221,820,455.283464
-18.91723,820,455.283472
13.459501,820,455.283481
109.19971,820,455.28349
109.19971,820,455.283499
22.252619,820,455.283507
105.8849,820,524.912272
-6.5943675,820,524.912314
59.745564,820,524.912329
109.19971,820,524.912341
40.06845,820,524.912352
109.19971,820,524.912362
17.399689,820,524.912372
56.50726,820,524.912382
-140.31252,820,524.912392
-19.16976,820,524.912401
-27.669613,820,524.91241
-6.938106,820,524.91242
28.716421,820,524.912429
108.830376,820,524.912438
109.19971,820,524.912447
-1.6136283,820,524.912457
109.19971,820,589.76744
-80.18353,820,589.767477
59.188046,820,589.767492
109.19971,820,589.767504
35.278408,820,589.767515
109.19971,820,589.767526
-3.7043104,820,589.767536
47.115646,820,589.767547
-124.85423,820,589.767557
-20.264975,820,589.767566
17.545805,820,589.767576
-28.1099,820,589.767586
11.327448,820,589.767594
108.74345,820,589.767604
109.19971,820,589.767613
15.985525,820,589.767622
105.67216,820,661.172544
-60.200867,820,661.172585
67.17993,820,661.172601
109.19971,820,661.172615
46.25407,820,661.172628
109.19971,820,661.17264
10.535505,820,661.172652
51.74574,820,661.172663
-124.19794,820,661.172675
-3.1688914,820,661.172687
