#{"t_start": 1755754820.3677187, "env_id": "None"}
r,l,t
0.0,820,51.340935
-285.0,820,51.340989
0.0,820,51.341014
0.0,820,51.341032
-77.0,820,51.341048
0.0,820,51.341064
-458.0,820,51.34108
-90.0,820,51.341096
-2030.0,820,51.341112
-502.0,820,51.341127
-739.0,820,51.341143
-387.0,820,51.341159
-393.0,820,51.341174
0.0,820,51.34119
0.0,820,51.341205
-232.0,820,51.341221
0.0,820,99.114388
-269.0,820,99.114439
0.0,820,99.114464
0.0,820,99.114482
-103.0,820,99.114499
0.0,820,99.114515
-535.0,820,99.114531
-119.0,820,99.114546
-2308.0,820,99.114562
-527.0,820,99.114577
-590.0,820,99.114593
-489.0,820,99.114608
-431.0,820,99.114624
0.0,820,99.11464
0.0,820,99.114655
-258.0,820,99.11467
0.0,820,151.167845
-302.0,820,151.169601
-1.0,820,151.169624
0.0,820,151.169638
-88.0,820,151.169649
0.0,820,151.16966
-512.0,820,151.16967
-106.0,820,151.169681
-2390.0,820,151.169691
-484.0,820,151.169701
-581.0,820,151.169712
-377.0,820,151.169722
-442.0,820,151.169732
0.0,820,151.169742
0.0,820,151.169752
-238.0,820,151.169761
0.0,820,198.607747
-221.0,820,198.607781
0.0,820,198.607797
0.0,820,198.60781
-127.0,820,198.607821
0.0,820,198.607833
-480.0,820,198.607844
-70.0,820,198.607856
-2537.0,820,198.607867
-470.0,820,198.607878
-496.0,820,198.60789
-307.0,820,198.607901
-372.0,820,198.607912
0.0,820,198.607924
0.0,820,198.607934
-284.0,820,198.607945
0.0,820,250.385684
-256.0,820,250.385716
0.0,820,250.385731
0.0,820,250.385743
-117.0,820,250.385754
0.0,820,250.385764
-472.0,820,250.385774
-96.0,820,250.385784
-1819.0,820,250.385794
-367.0,820,250.385803
-717.0,820,250.385813
-332.0,820,250.385823
-285.0,820,250.385831
0.0,820,250.385841
0.0,820,250.38585
-247.0,820,250.385859
0.0,820,298.023117
-293.0,820,298.023149
0.0,820,298.023165
0.0,820,298.023177
-128.0,820,298.023187
0.0,820,298.023198
-434.0,820,298.023208
-91.0,820,298.023218
-1667.0,820,298.023228
-317.0,820,298.023238
-514.0,820,298.023247
-314.0,820,298.023257
-259.0,820,298.023267
0.0,820,298.023276
0.0,820,298.023285
-200.0,820,298.023294
0.0,820,345.206289
-227.0,820,345.206322
-2.0,820,345.206337
0.0,820,345.206349
-139.0,820,345.20636
0.0,820,345.20637
-368.0,820,345.20638
-102.0,820,345.20639
-1675.0,820,345.2064
-336.0,820,345.206409
-511.0,820,345.206419
-335.0,820,345.206428
-272.0,820,345.206437
0.0,820,345.206447
0.0,820,345.206456
-214.0,820,345.206465
0.0,820,397.105902
-199.0,820,397.105935
0.0,820,397.10595
0.0,820,397.105962
-112.0,820,397.105973
0.0,820,397.105983
-326.0,820,397.105994
-88.0,820,397.106004
-1690.0,820,397.106013
-376.0,820,397.106023
-418.0,820,397.106033
-310.0,820,397.106043
-232.0,820,397.106052
0.0,820,397.106062
0.0,820,397.106071
-188.0,820,397.10608
0.0,820,444.775318
-224.0,820,444.77535
-1.0,820,444.775365
0.0,820,444.775377
-159.0,820,444.775388
0.0,820,444.775399
-319.0,820,444.775409
-81.0,820,444.775419
-1351.0,820,444.775429
-250.0,820,444.775439
-320.0,820,444.775449
-257.0,820,444.775459
-205.0,820,444.775468
0.0,820,444.775478
0.0,820,444.775487
-147.0,820,444.775496
0.0,820,496.0948
-181.0,820,496.094835
0.0,820,496.09485
0.0,820,496.094862
-121.0,820,496.094873
0.0,820,496.094884
-336.0,820,496.094894
-91.0,820,496.094904
-1399.0,820,496.094914
-257.0,820,496.094923
-354.0,820,496.094933
-277.0,820,496.094942
-256.0,820,496.094951
0.0,820,496.094961
0.0,820,496.09497
-132.0,820,496.094979
0.0,820,543.686549
-260.0,820,543.686581
-2.0,820,543.686597
0.0,820,543.686609
-94.0,820,543.68662
0.0,820,543.686631
-276.0,820,543.686641
-92.0,820,543.686651
-1084.0,820,543.686661
-197.0,820,543.686671
-313.0,820,543.686682
-261.0,820,543.686691
-174.0,820,543.686701
0.0,820,543.68671
0.0,820,543.686719
-154.0,820,543.686728
0.0,820,591.126781
-200.0,820,591.126817
-4.0,820,591.126833
0.0,820,591.126845
-91.0,820,591.126855
0.0,820,591.126866
-213.0,820,591.126876
-91.0,820,591.126886
-1013.0,820,591.126896
-208.0,820,591.126906
-358.0,820,591.126915
-208.0,820,591.126962
-196.0,820,591.126977
0.0,820,591.126987
0.0,820,591.126997
-142.0,820,591.127005
0.0,820,642.091302
-166.0,820,642.091337
0.0,820,642.091352
0.0,820,642.091363
-162.0,820,642.091378
0.0,820,642.091388
-324.0,820,642.091397
-73.0,820,642.091405
-1049.0,820,642.091414
-233.0,820,642.091423
-340.0,820,642.091432
-220.0,820,642.091441
-185.0,820,642.091449
0.0,820,642.091458
0.0,820,642.091467
-155.0,820,642.091475
0.0,820,689.401377
-163.0,820,689.401412
0.0,820,689.401429
0.0,820,689.401442
-159.0,820,689.401454
0.0,820,689.401467
-212.0,820,689.401478
-68.0,820,689.40149
-891.0,820,689.401501
-205.0,820,689.401513
-217.0,820,689.401525
-174.0,820,689.401536
-153.0,820,689.401547
0.0,820,689.401559
0.0,820,689.40157
-144.0,820,689.401582
0.0,820,740.267143
-192.0,820,740.267176
0.0,820,740.267192
0.0,820,740.267204
