#{"t_start": 1755472116.907841, "env_id": "None"}
r,l,t
108.15064,820,78.729162
-223.70117,820,78.729238
103.47318,820,78.729272
109.33304,820,78.7293
67.10726,820,78.729324
109.33304,820,78.729348
-51.21156,820,78.729371
59.682003,820,78.729394
-494.10834,820,78.729417
-304.13553,820,78.729439
-304.69104,820,78.729462
-91.6041,820,78.729485
-26.513924,820,78.729508
109.33304,820,78.729531
109.33304,820,78.729553
-37.03896,820,78.729576
109.28612,820,153.971033
-241.50562,820,153.971111
103.64305,820,153.971144
109.33304,820,153.97117
63.015022,820,153.971194
109.33304,820,153.971217
-197.23843,820,153.97124
63.435493,820,153.971263
-638.3317,820,153.971286
-156.14146,820,153.97131
-146.7066,820,153.971333
-66.86716,820,153.973458
-81.37642,820,153.973485
109.28381,820,153.9735
109.33304,820,153.973515
3.872407,820,153.973528
109.24485,820,235.943682
-230.78276,820,235.943733
103.96129,820,235.943754
109.33304,820,235.943771
60.614372,820,235.943786
109.33304,820,235.943801
-85.69754,820,235.943815
39.45217,820,235.943829
-412.91055,820,235.943842
-83.26619,820,235.943855
-175.89282,820,235.943871
-114.57487,820,235.943885
-26.112753,820,235.943898
109.30512,820,235.943911
109.33304,820,235.943924
14.148222,820,235.943937
108.96092,820,310.507017
-91.04513,820,310.507072
102.58266,820,310.507091
109.33304,820,310.507105
25.146753,820,310.507118
109.33304,820,310.507131
-27.967781,820,310.507144
51.746807,820,310.507157
-496.96198,820,310.507174
-34.61351,820,310.507187
-147.8121,820,310.5072
-40.14879,820,310.507212
-98.32572,820,310.507225
109.22735,820,310.507256
109.33304,820,310.507269
17.233416,820,310.507283
109.291374,820,392.922213
-37.470573,820,392.922265
102.72894,820,392.922286
109.33304,820,392.922303
64.805305,820,392.922319
109.33304,820,392.922334
-84.7716,820,392.922348
21.898739,820,392.922362
-500.91934,820,392.922376
-23.196012,820,392.92239
-119.0556,820,392.922403
-12.995188,820,392.922416
-20.390245,820,392.92243
109.253944,820,392.922443
109.33304,820,392.922457
16.090109,820,392.92247
109.30308,820,467.446091
-121.7969,820,467.446142
104.31198,820,467.44616
109.33304,820,467.446175
76.20853,820,467.446188
109.33304,820,467.446201
-33.91642,820,467.446214
77.63682,820,467.446227
-234.70818,820,467.446239
-35.736008,820,467.446252
-89.97303,820,467.446264
23.313663,820,467.446277
-25.730219,820,467.44629
109.31055,820,467.446302
109.33304,820,467.446315
35.050507,820,467.446327
108.77071,820,541.487065
-111.00936,820,541.487116
104.661224,820,541.487137
109.33304,820,541.487154
44.393238,820,541.487169
109.33304,820,541.487185
-53.947563,820,541.487199
61.38065,820,541.487213
-295.7596,820,541.487227
-36.64881,820,541.48724
4.884701,820,541.487254
1.3385575,820,541.487267
11.053325,820,541.48728
109.32661,820,541.487293
109.33304,820,541.487306
43.281116,820,541.487319
109.25918,820,623.119679
-16.06078,820,623.119733
101.744576,820,623.119755
109.33304,820,623.119772
50.2187,820,623.119788
109.33304,820,623.119803
17.173084,820,623.119817
57.540783,820,623.119831
-215.66653,820,623.119844
-2.8561382,820,623.119857
-32.870426,820,623.11987
36.56848,820,623.119883
27.35126,820,623.119896
109.2888,820,623.119909
109.33304,820,623.119922
40.245777,820,623.119935
109.33304,820,696.741023
-82.58862,820,696.741074
104.55138,820,696.741093
109.33304,820,696.741108
44.078587,820,696.741122
109.33304,820,696.741134
-1.4875956,820,696.741147
72.66121,820,696.74116
-170.04755,820,696.741173
18.48811,820,696.741186
-21.720284,820,696.741199
15.264569,820,696.741211
22.835045,820,696.741224
109.31716,820,696.741237
109.33304,820,696.741249
52.153656,820,696.741262
109.292015,820,778.289603
-63.533928,820,778.289655
103.68141,820,778.289675
109.33304,820,778.289689
63.69273,820,778.289703
109.33304,820,778.289716
-36.72097,820,778.289729
61.6338,820,778.289741
-175.54068,820,778.289754
31.280647,820,778.289767
-38.518414,820,778.289779
18.171034,820,778.289792
5.4278398,820,778.28986
109.22025,820,778.289881
109.33304,820,778.289895
44.140076,820,778.289908
108.91184,820,851.614897
0.11388151,820,851.614948
103.584724,820,851.614969
109.33304,820,851.614985
-19.337517,820,851.615002
109.33304,820,851.615017
21.212402,820,851.615032
73.71697,820,851.615046
-122.46114,820,851.61506
21.817545,820,851.615076
34.314888,820,851.61509
21.760105,820,851.615103
38.382126,820,851.615117
109.31751,820,851.61513
109.33304,820,851.615143
51.925755,820,851.615157
109.33304,820,925.334164
7.9375935,820,925.334214
103.993126,820,925.334233
109.33304,820,925.334247
63.932533,820,925.33426
109.33304,820,925.334274
22.937843,820,925.334287
86.587494,820,925.334299
-165.76515,820,925.334312
29.007517,820,925.334324
-4.534733,820,925.334337
35.94184,820,925.334349
39.77122,820,925.334362
109.1708,820,925.334374
109.33304,820,925.334387
55.76274,820,925.334405
109.29196,820,1006.55357
39.69326,820,1006.553622
105.00604,820,1006.553641
109.33304,820,1006.553656
63.335075,820,1006.55367
109.33304,820,1006.553683
36.584026,820,1006.553696
85.458374,820,1006.553709
-128.34908,820,1006.553722
37.098003,820,1006.553736
26.982357,820,1006.553749
36.29254,820,1006.553761
42.94845,820,1006.553774
109.30123,820,1006.553787
109.33304,820,1006.553799
45.853504,820,1006.553812
109.33304,820,1079.734746
30.484625,820,1079.734797
105.53972,820,1079.734816
109.33304,820,1079.734831
57.631752,820,1079.734844
109.33304,820,1079.734858
37.22127,820,1079.734871
74.2821,820,1079.734884
-79.65111,820,1079.734897
45.43943,820,1079.73491
64.881294,820,1079.734923
55.07645,820,1079.734936
66.24501,820,1079.734949
109.17346,820,1079.734962
109.33304,820,1079.734974
62.98147,820,1079.734987
109.33304,820,1160.802242
36.44391,820,1160.802291
103.73911,820,1160.80231
109.33304,820,1160.802325
70.0172,820,1160.802338
109.33304,820,1160.802352
37.732918,820,1160.802365
78.42741,820,1160.802378
-98.68044,820,1160.802391
50.01408,820,1160.802403
56.279106,820,1160.802416
54.6167,820,1160.802429
60.528046,820,1160.802442
109.32539,820,1160.802455
109.33304,820,1160.802468
45.896008,820,1160.802481
109.28531,820,1233.753981
7.8487473,820,1233.754033
104.18005,820,1233.754052
109.33304,820,1233.754066
55.885075,820,1233.75408
109.33304,820,1233.754093
46.628155,820,1233.754106
78.70187,820,1233.754119
-114.67166,820,1233.754132
61.38491,820,1233.754145
64.62968,820,1233.754157
50.57605,820,1233.75417
67.33792,820,1233.754182
109.27319,820,1233.754195
109.33304,820,1233.754207
73.200294,820,1233.75422
109.27699,820,1306.691267
1.4838082,820,1306.691318
105.62689,820,1306.691336
109.33304,820,1306.691351
58.91327,820,1306.691364
109.33304,820,1306.691377
45.54213,820,1306.69139
83.38616,820,1306.691403
-51.142136,820,1306.691416
59.011738,820,1306.691429
52.673977,820,1306.691442
53.095184,820,1306.691455
69.25142,820,1306.691468
109.30803,820,1306.691481
109.33304,820,1306.691495
71.21345,820,1306.691508
109.004425,820,1387.331509
-3.231421,820,1387.331563
104.66474,820,1387.331596
109.33304,820,1387.331611
58.221134,820,1387.331624
109.33304,820,1387.331637
51.20439,820,1387.33165
77.380325,820,1387.331664
-54.730473,820,1387.331676
64.740456,820,1387.33169
61.908104,820,1387.331702
50.463345,820,1387.331715
66.86928,820,1387.331728
109.32851,820,1387.33174
109.33304,820,1387.331753
80.85225,820,1387.331766
108.86047,820,1460.050165
74.72959,820,1460.050216
106.176735,820,1460.050235
109.33304,820,1460.05025
69.816635,820,1460.050263
109.33304,820,1460.050277
56.748806,820,1460.050289
83.71473,820,1460.050302
-34.22564,820,1460.050315
